Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Santos Futebol Clube,Peixe[1]​Alvinegro[2]​,14 de abril de 1912 (111 años),Marcelo Teixeira[3]​,Fábio Carille[5]​,Estadio Vila Belmiro,"Santos,São Paulo,Brasil",16 500 espectadores,Santos,Santos FC
Racing Club,La Academia[1]​El Primer Grande[2]​,25 de marzo de 1903 (120 años)[3]​,Víctor Blanco,Gustavo Costas,Presidente Perón«El Cilindro de Avellaneda»,"Pasaje Mozart y CorbattaAvellaneda,Buenos Aires,Argentina34°39′59.77″S58°22′6.80″O﻿ / ﻿-34.6666028,-58.3685556",55 000 espectadores,Pasaje Mozart y CorbattaAvellaneda,Racing Club
Club Atlético Deportivo Armenio,Tricolor,2 de noviembre de 1962 (61 años),Luciano Nakis,Cristian Tula,Armenia,"Ruta Provincial 26y Quintana,Ingeniero Maschwitz,Buenos Aires,Argentina",8000 espectadores[1]​[2]​,Ruta Provincial 26y Quintana,Deportivo Armenio
Hassania Union Sport Agadir,Ghazelle de Sousse,1946,Habib Sidinou,Abdelhadi Sektiouti,Stade de Agadir,"Agadir,Marruecos",45.000,Agadir,Hassania d'Agadir
Football Club Cincinnati,FCCOrange and Blue,29 de mayo de 2018 (5 años) en MLS,Jeff Berding,Pat Noonan,TQL Stadium,"Cincinnati,Ohio,Estados Unidos",33.800,Cincinnati,FC Cincinnati
No data,No data,No data,No data,No data,No data,No data,No data,No data,SE Palmeiras São Paulo U20
Cumbayá Fútbol Club,Los LeonesLos parroquialesLos parroquianosEl equipo parroquialEl equipo parroquiano,31 de mayo de 1970 (53 años),Diana Morales,Norberto Araujo,Olímpico Atahualpa,"Av. 6 de Diciembre y Naciones Unidas,Quito,Ecuador",38 500 espectadores[1]​,Av. 6 de Diciembre y Naciones Unidas,Cumbayá FC
No data,No data,No data,No data,No data,No data,No data,No data,No data,CA Boca Juniors II
Club Independiente Santa Fe,los cardenalesel Expreso Rojoel Leónel Rojoel Primer Campeónla Fuerza de un Pueblolos albirrojoslos leones,28 de febrero de 1941 (83 años),Luis Eduardo Méndez,Pablo Peirano,Nemesio Camacho El Campín,"Bogotá,ColombiaAvenida NQS con Calle 57 (barrio El Campín)",36 343,Bogotá,Independiente Santa Fe
Montevideo City Torque,CitadinosCiudadanosEl City UruguayoLa TEl City Torque,26 de diciembre de 2007 (16 años),Raúl Aquino,Pablo Marini,No data,"Montevideo,Uruguay",No data,Montevideo,Montevideo City Torque
