Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Club Atlético Talleres,AlbiazulMatadorLa T,12 de octubre de 1913 (110 años),Andrés Fassi[2]​,Walter Ribonetto,Estadio Francisco Cabasés[n 1]​,"Av. Pablo Ricchieri 1595,Córdoba,Argentina",18 000 espectadores,Av. Pablo Ricchieri 1595,CA Talleres
Al-Masry Sporting Club,Águilas VerdesJefe del Canal,18 de marzo de 1920 (104 años),Samir Halabia,Ehab Galal,Estadio de Puerto Saíd,"Puerto Saíd,Egipto",18.000,Puerto Saíd,El Masry SC
Burnley Football Club,The Clarets(Los vinotintos)[1]​,18 de mayo de 1882 (141 años)[2]​,Alan Pace,Vincent Kompany,Turf Moor,"Burnley,Inglaterra","22,000  espectadores[3]​",Burnley,Burnley FC
Club Almagro,Tricolor,6 de enero de 1911 (113 años),Julio Cucchi,Norberto Paparatto,Tres de Febrero,"Estadio de fútbol: Avenida Marcelo T. de Alvear 2223, (José Ingenieros,Buenos Aires).",19.000 espectadores,Estadio de fútbol: Avenida Marcelo T. de Alvear 2223,Club Almagro
Deportivo Pereira F.C. S.A.[1]​[2]​,El Grande Matecaña[3]​La Furia Matecaña[4]​,12 de febrero de 1944 (80 años),Álvaro López Bedoya,Leonel Álvarez,Hernán Ramírez Villegas,"Pereira,Risaralda,Colombia",30.297[5]​,Pereira,Deportivo Pereira
Nashville Soccer Club,The Six-Strings(Las Seis Cuerdas),20 de diciembre de 2017 (6 años),Ian Ayre,Gary Smith,Geodis Park[3]​,"Nashville,Tennessee,Estados Unidos",30.000,Nashville,Nashville SC
Samsunspor Kulübü Derneği[1]​,Kırmızı Şimşekler(Rayo Rojo),30 de junio de 1965 (58 años),Yüksel Yıldırım,Ertuğrul Sağlam,Estadio de Samsun,"Samsun,Turquía",39.919[2]​,Samsun,Samsunspor
Unión Sportive Monastirienne,Abna Ribat,17 de marzo de 1923 (101 años),Ahmed Belli,Mohamed Kouki,Stade Mustapha Ben Jannet,"Monastir,Túnez",20.000,Monastir,US Monastir
D.C. United,DCUBlack-and-RedThe Men in BlackUnited,15 de junio de 1994 (29 años),Jason Levien,Troy Lesesne,Audi Field,"Washington D. C.,Estados Unidos",20.000,Washington D. C.,D.C. United
No data,No data,No data,No data,No data,No data,No data,No data,No data,Crystal Palace U21
Sport Club Corinthians Paulista,Coringão[1]​Timão[2]​ (Equipazo)Time do Povo (Equipo del Pueblo)[3]​,1 de septiembre de 1910 (113 años),Augusto Melo[4]​,António Oliveira[5]​,Neo Química Arena,"Sao Paulo,Brasil",49 205 espectadores[6]​,Sao Paulo,Sport Club Corinthians Paulista
Botafogo de Futebol e Regatas,Fogão[1]​Estrela Solitaria(Estrella Solitaria)[2]​Glorioso[3]​,12 de agosto de 1904 (119 años),Durcesio Mello[5]​,Fabio Matias (interino)[7]​,"Estadio Nilton SantosRío de Janeiro,Brasil",No data,46.931 espectadores,No data,Botafogo de Futebol e Regatas
Colorado Rapids,PidsRapids,6 de junio de 1995 (28 años),Stan Kroenke,Chris Armas,DSG Park,"Commerce City,Colorado,Estados Unidos",33.680,Commerce City,Colorado Rapids
Unione Sportiva Catanzaro 1929 S.r.l.,Aquile del sud(Águilas del sur)Regina del Sud(Reina del Sur)Timore del Nord(Miedo del Norte)il Magico(el Mágico)Giallorossi(Aurirojos),1929comoUnione Sportiva Catanzarese,Floriano Noto,Vincenzo Vivarini,Estadio Nicola Ceravolo,"Catanzaro,Italia",14.650 espectadores,Catanzaro,US Catanzaro
Manchester United Football Club,The Red Devils(Los Diablos Rojos)[1]​,17 de enero de 1878 (146 años)Newton Heath LYR F. C.24 de abril de 1902 (121 años)Manchester United F. C.,Joel GlazerAvram Glazer,Erik ten Hag,Old Trafford,"Gran Mánchester,InglaterraReino UnidoReino Unido(Coord.53°27′47″N2°17′29″O﻿ / ﻿53.463056,-2.291389)",76.000 espectadores[2]​,Gran Mánchester,Manchester United
Wolverhampton Wanderers Football Club,Wolves(Lobos)The Wanderers(Los Errantes),1877 (147 años)comoSt. Luke's,Jeff Shi[2]​,Gary O'Neil,Molineux Stadium,"Wolverhampton(Coord.52°35′25″N2°07′49″O﻿ / ﻿52.590278,-2.130278)","30,852 espectadores[3]​",Wolverhampton(Coord.52°35′25″N2°07′49″O﻿ / ﻿52.590278,Wolverhampton Wanderers
Futbolnyĭ Klub Zhemchuzhina-Sochi,No data,1991,Dmitry Yakushev,No data,Estadio Central de Sochi,"Sochi,Rusia",12.500,Sochi,FC Sochi
Fotball Club Sheriff Tiraspol,Жёлто-чёрные/Zholto-chornyye(Amarillo y negro)[1]​Осы/Osy(Avispas)[2]​,4 de abril de 1997 (26 años)[3]​,Victor Gushan,Roman Pylypchuk,Stadionul Sheriff,"Tiráspol,Transnitria",14.300,Tiráspol,FC Sheriff Tiraspol
Seinäjoen Jalkapallokerho,SJKKerho,5 de noviembre de 2007 (16 años),No data,No data,OmaSP Stadion,"Seinäjoki,Finlandia",6.000,Seinäjoki,SJK Seinäjoki
Nijmegen Eendracht Combinatie,NEC,15 de noviembre de 1900 (123 años),Ron van Oijen,Rogier Meijer,Goffertstadion,"Nimega,Países Bajos",12.500,Nimega,NEC Nijmegen
Football Club Pohang Steelers포항 스틸러스 축구단,Acereros,1 de abril de 1973 (50 años)(comoPOSCO F. C.),Kim Tae-man,Choi Soon-ho,Steel Yard,Pohang,17 443,Pohang,Pohang Steelers
Profesionalen Futbolen Klub Beroe,Зелените (Los Verdes),6 de mayo de 1916 (107 años),Hernán Banato,Gustavo Aragolaza,Beroe,"Stara Zagora,Bulgaria",12.500,Stara Zagora,Beroe Stara Zagora
Hellas Verona Football Club S.p.A.,Gialloblù(Amarillo-Azul)Mastini(Mastines)ScaligeriButei(Muchachos),1903 (120 años)comoAssociazione Calcio Hellas,Maurizio Setti,Marco Baroni,Marcantonio Bentegodi,"Verona,Italia",39 211 espectadores,Verona,Hellas Verona
