Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Club Atlético Colón,SabaleroRojinegroNegroRaza,5 de mayo de 1905 (118 años),Víctor Godano,Iván Delfino,Brigadier General Estanislao López,"Av. Juan José Paso 3535, 3000Santa Fe,Argentina31°39′45″S60°43′32″O﻿ / ﻿-31.6625953,-60.7254305",30 835[2]​,Av. Juan José Paso 3535,CA Colon
Grêmio Foot-Ball Porto Alegrense,Tricolor Gaúcho[1]​Tricolor Inmortal[2]​,15 de septiembre de 1903 (120 años)[3]​,Alberto Guerra[5]​,Renato Gaúcho[6]​,Arena do Grêmio,"Av. Padre Leopoldo Brentano, 110 - Humaitá, Porto Alegre - RS, 90250-590, Brasil[7]​",60 540 espectadores,Av. Padre Leopoldo Brentano,Grêmio Foot-Ball Porto Alegrense
América Futebol Clube,Coelho (Conejo)[1]​[2]​,30 de abril de 1912 (111 años),Alencar da Silveira Júnior[3]​,Cauan de Almeida[5]​,Independencia,"Belo Horizonte,Brasil",23.018,Belo Horizonte,América Futebol Clube (MG)
Al-Duhail Sports Club,"Fuerza de Seguridad Interna,Caballeros Rojos",1938 (como Al-Shorta Doha (Club de la Policía)),Abdullah Al Thani,Christophe Galtier,Estadio Abdullah bin Khalifa,"Doha,Catar",12.000,Doha,Al-Duhail SC
Gaziantep Futbol Kulübü,No data,1988 (36 años),Mehmet Büyükekşi,Erol Bulut,Gaziantep Arena,"Gaziantep,Turquía",35.558,Gaziantep,Gaziantep FK
Club Universidad Nacional A.C.[1]​,Pumas[2]​Auriazules[3]​Universitarios[4]​Los del Pedregal[5]​,2 de agosto de 1954 (69 años),Luis Raúl González Pérez,Gustavo Lema,Olímpico Universitario,Ciudad de México,72 000[7]​,Ciudad de México,UNAM Pumas
Club Atlético Talleres,AlbiazulMatadorLa T,12 de octubre de 1913 (110 años),Andrés Fassi[2]​,Walter Ribonetto,Estadio Francisco Cabasés[n 1]​,"Av. Pablo Ricchieri 1595,Córdoba,Argentina",18 000 espectadores,Av. Pablo Ricchieri 1595,CA Talleres
Club Deportivo y Cultural Oriente Petrolero,AlbiverdeRefineroOriente de mil batallasVerdolaga,5 de noviembre de 1955 (68 años),Ronald Raldes,Víctor Hugo Antelo,Estadio Ramón Aguilera Costas,"Av. Ana Barba y Av. Ejército NacionalSanta Cruz de la Sierra,Bolivia",38 700espectadores,Av. Ana Barba y Av. Ejército NacionalSanta Cruz de la Sierra,Club Deportivo Oriente Petrolero
Club Atlético Banfield,El TaladroEl Albiverde,21 de enero de 1896 (128 años),Eduardo Spinosa,Julio Cesar Falcioni,Florencio Sola,"Peña y Arenales,Banfield,Argentina",34 900espectadores[2]​,Peña y Arenales,CA Banfield
Club Atlético Independiente,El Rojo[1]​Independiente de América[2]​Diablos Rojos[3]​Rey de Copas[4]​Orgullo Nacional[5]​,4 de agosto de 1904 (119 años)(no oficial)1 de enero de 1905 (119 años)(oficial),Néstor Grindetti,Carlos Tévez,Libertadores de América,"Ricardo Bochini 751[7]​Avellaneda,Buenos Aires,Argentina34°40′13″S58°22′15″O﻿ / ﻿-34.67028,-58.37083",42 069 espectadores[8]​,Ricardo Bochini 751[7]​Avellaneda,CA Independiente
Toulouse Football Club,TFC[1]​Le TéfécéLes Pitchouns[2]​Les Violets,20 de marzo de 1937 (87 años),Damien Comoli,Carles Martínez Novell,Tolouse,"Toulouse,Francia",35 575[3]​,Toulouse,FC Toulouse
Football Club de Nantes,Les Canaris (es. Los Canarios)[1]​,21 de abril de 1943 (80 años),Waldemar Kita,Jocelyn Gourvennec,La Beaujoire,"Nantes,Francia","38,486 espectadores",Nantes,FC Nantes
Konyaspor Kulübü,Anadolu Kartalı (Águila de Anatolia)Yeşil Beyaz (Los Verdi-Blancos),22 de junio de 1922 (101 años),Fatih Özgökçen,Aleksandar Stanojević,Estadio Konya Büyükşehir,"Konya,Turquía",40 000,Konya,Konyaspor
Udinese Calcio,FriulaniBianconeriLe Zebrette,1 de enero de 1896 (128 años),Franco Soldati,Gabriele Cioffi,Stadio Friuli,"Údine,Italia",25 000 espectadores,Údine,Udinese Calcio
Fußball-Club Augsburg 1907 e. V.,"Fuggerstädter(Llamado así por la famosafamilia Fuggerde Augsburgo, fundadores deFuggerei)",8 de agosto de 1907 (116 años),Klaus Hofmann,Jess Thorup,Impuls Arena,"Augsburgo,Alemania",30 660,Augsburgo,FC Augsburg
Blackpool Football Club,The Seasiders(Los Marineros)The 'PoolThe Tangerines(Las Mandarinas),26 de julio de 1887 (136 años)[1]​,Natalie Christopher,Neil Critchley,Bloomfield Road,"Seasiders WayBlackpool(Coord.53°48′17″N3°02′53″O﻿ / ﻿53.804722,-3.048056)",17 338 espectadores,Seasiders WayBlackpool(Coord.53°48′17″N3°02′53″O﻿ / ﻿53.804722,Blackpool FC
Racing Club de Estrasburgo Alsacia,Les Bleu et Blanc[1]​,1906,Marc Keller,Patrick Vieira,Stade de la Meinau,"Estrasburgo,Francia",26 109,Estrasburgo,RC Strasbourg Alsace
