Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Club de Fútbol Monterrey Rayados A. C.[1]​,Rayados[2]​AlbiazulesLa Pandilla,28 de junio de 1945 (78 años),José Antonio Noriega,Fernando Ortiz,BBVA,"Av. Pablo Livas 2011, La PastoraGuadalupe(México)",53 500 espectadores,Av. Pablo Livas 2011,CF Monterrey
Фудбалски клуб Црвена звездаFudbalski klub Crvena Zvezda,Zvezda(Estrella)Crveno-beli(Rojiblancos),4 de marzo de 1945 (79 años),Svetozar Mijailović,Vladan Milojević,Rajko Mitić,Belgrado(Serbia),55.783[1]​ espectadores,Belgrado(Serbia),Red Star Belgrade
Orlando Pirates Football Club,Buccaneers (Bucaneros)[1]​Ezimnyama NgenkaniHappy PeopleSea RobbersAmabhakabhaka[2]​,1937 (87 años),Irvin Khoza,José Riveiro,Estadio Orlando,"Soweto,Sudáfrica",46.000 espectadores.,Soweto,Orlando Pirates
Deportivo Pereira F.C. S.A.[1]​[2]​,El Grande Matecaña[3]​La Furia Matecaña[4]​,12 de febrero de 1944 (80 años),Álvaro López Bedoya,Leonel Álvarez,Hernán Ramírez Villegas,"Pereira,Risaralda,Colombia",30.297[5]​,Pereira,Deportivo Pereira
Red Bull Bragantino,BragaMassa Bruta(Masa Bruta)[1]​Toro Loko(Toro Loco)[1]​,8 de enero de 1928 (96 años)comoClube Atlético Bragantino,No data,Pedro Caixinha[2]​,Nabi Abi Chedid,"Bragança Paulista,Brasil",17 000 espectadores,Bragança Paulista,Red Bull Bragantino
RZ Pellets Wolfsberger Athletik Club,GAM FC,1931,Dietmar Riegler,Robin Dutt,Lavanttal-Arena,"Wolfsberg,Austria",9.400,Wolfsberg,Wolfsberger AC
Club Deportivo Ñublense S.A.D.P.[1]​,"Los Diablos Rojos, El Rojo, La Longaniza Mecánica",20 de agosto de 1916 (107 años)como Liceo Football Club,Sergio Gioino,Mario Salas,Bicentenario Municipal Nelson Oyarzún,"Pedro Aguirre Cerda 297Chillán,Ñuble,Chile",11 319 espectadores.,Pedro Aguirre Cerda 297Chillán,CD Ñublense
No data,No data,No data,No data,No data,No data,No data,No data,No data,AA Argentinos Juniors
"Club Deportivo Leganés, S. A. D.","Pepineros,El Lega",23 de junio de 1928 (95 años),Jeff Luhnow[1]​,Borja Jiménez,Municipal de Butarque,"Leganés,Comunidad de Madrid,España",12 450 espectadores,Leganés,CD Leganés
Associazione Calcio Monza S.p.a.,Biancorossi(Blanquirrojos)BrianzoliBagajViscontei,1 de septiembre de 1912 (111 años),Paolo Berlusconi,Raffaele Palladino,Estadio Brianteo,"Monza,Italia",18.568 espectadores,Monza,AC Monza
Football Club de Nantes,Les Canaris (es. Los Canarios)[1]​,21 de abril de 1943 (80 años),Waldemar Kita,Jocelyn Gourvennec,La Beaujoire,"Nantes,Francia","38,486 espectadores",Nantes,FC Nantes
No data,No data,No data,No data,No data,No data,No data,No data,No data,West Ham United U21
"Club Deportivo Tenerife, S. A. D.","Tete,[1]​Blanquiazules,[2]​Chicharreros,[3]​Birrias[4]​",8 de agosto de 1922 (101 años)[5]​,Paulino Rivero Baute,Asier Garitano,Heliodoro Rodríguez López,"Santa Cruz de Tenerife,Canarias",23 000 Espectadores,Santa Cruz de Tenerife,CD Tenerife
Leicester City Football Club,The Foxes(LosZorros)[1]​The Blue and Whites(Los Albiazules),1 de enero de 1884 (140 años)comoLeicester Fosse FC,Aiyawatt Srivaddhanaprabha,Enzo Maresca,King Power Stadium,"Leicester,Reino Unido(Coord.52°37′13″N1°08′32″O﻿ / ﻿52.620278,-1.142222)","32,261 espectadores[2]​",Leicester,Leicester City
Royal Antwerp Football Club,Great OldPloeg van 't StadLa Vieja Dama,1880 (144 años),Paul Gheysens,Mark van Bommel,Bosuilstadion,"Amberes,Bélgica",16 649,Amberes,Royal Antwerp FC
Futebol Clube do Porto,Dragões(Dragones)Azuis e Brancos(Azules y Blancos),28 de septiembre de 1893 (130 años),Jorge Nuno,Sérgio Conceição,Do Dragão,"Oporto,Portugal",55.555,Oporto,FC Porto
Idrottsklubben Sirius,Blåsvart(Azul-Negro),1907,Ove Sjöblom,Henrik Rydström,Studenternas IP,"Uppsala,Suecia","6,300",Uppsala,IK Sirius
Hellas Verona Football Club S.p.A.,Gialloblù(Amarillo-Azul)Mastini(Mastines)ScaligeriButei(Muchachos),1903 (120 años)comoAssociazione Calcio Hellas,Maurizio Setti,Marco Baroni,Marcantonio Bentegodi,"Verona,Italia",39 211 espectadores,Verona,Hellas Verona
Club Atlético Osasuna,Rojillos,"31 de mayo de 1919 (104 años), oficiosa[1]​comoSportiva Foot-ball Club24 de octubre de 1920 (103 años), oficial[2]​comoClub Atlético Osasuna",Luis Sabalza,Jagoba Arrasate,El Sadar,"Pamplona,Navarra,España",23.576 espectadores[3]​,Pamplona,CA Osasuna
No data,No data,No data,No data,No data,No data,No data,No data,No data,Liverpool FC U21
Club de Regatas Vasco da Gama,Camisas Negras[1]​Gigante da Colina[2]​[3]​Time da Virada[4]​Trem-bala da Colina[5]​,21 de agosto de 1898 (125 años) (Club de Remo)26 de noviembre de 1915 (108 años) (Club de Fútbol),Pedrinho[7]​,Ramón Díaz[9]​,São Januário,"Río de Janeiro,Brasil",21 880 espectadores[10]​,Río de Janeiro,Clube de Regatas Vasco da Gama
Sporting Clube de Portugal,Leões(Leones)Verde e Brancos(Verde y Blancos),1 de julio de 1906 (117 años),Frederico Varandas[1]​,Rúben Amorim[2]​,Estadio José Alvalade,"Lisboa,Portugal",52.000 espectadores[3]​,Lisboa,Sporting CP
No data,No data,No data,No data,No data,No data,No data,No data,No data,Club Nacional Asunción
Idrottsföreningen Elfsborg,Gulingarna(Los Amarillos)Eleganterna(Los Elegantes),25 de junio de 1904 (119 años),Sune Lundqvist,Jimmy Thelin,Borås Arena,"Borås,Suecia","17,800",Borås,IF Elfsborg
Hatayspor,Estrella del Sur,1967,Nihat Tazeaslan,Volkan Demirel,Nuevo Estadio de Hatay,"Antakya,Provincia de Hatay","25,269",Antakya,Hatayspor
Hellas Verona Football Club S.p.A.,Gialloblù(Amarillo-Azul)Mastini(Mastines)ScaligeriButei(Muchachos),1903 (120 años)comoAssociazione Calcio Hellas,Maurizio Setti,Marco Baroni,Marcantonio Bentegodi,"Verona,Italia",39 211 espectadores,Verona,Hellas Verona
Club Atlético Osasuna,Rojillos,"31 de mayo de 1919 (104 años), oficiosa[1]​comoSportiva Foot-ball Club24 de octubre de 1920 (103 años), oficial[2]​comoClub Atlético Osasuna",Luis Sabalza,Jagoba Arrasate,El Sadar,"Pamplona,Navarra,España",23.576 espectadores[3]​,Pamplona,CA Osasuna
MOL Fehérvár Football Club,VidiFehérvár,1941,István Garancsi,Szabolcs Huszti[1]​,MOL Aréna Sóstó,"Székesfehérvár,Hungría",14 200,Székesfehérvár,Fehérvár FC
Al-Taawoun Football Club,Lobos,1 de enero de 1956 (68 años),Mohammed Al Qasim,Péricles Chamusca,Rey Abdullah,"Buraidah,Arabia Saudita",25.000,Buraidah,Al-Taawoun FC
Sparta Rotterdam,Kasteelheren (Los señores del castillo)De Rood-Witte Gladiatoren (Los gladiadores rojo-blancos),1 de abril de 1888 (135 años),Leo Ruijs,Jeroen Rijsdijk,Het Kasteel,"Róterdam,Países Bajos",11 026,Róterdam,Sparta Rotterdam
İstanbulspor Anonim Şirketi,Sarı Boğalar(Toros Amarillos)İstanbul Boğaları(Toros de Estambul),4 de enero de 1926 (98 años)[1]​,Ecmel Faik Sarıalioğlu,Osman Zeki Korkmaz,Estadio Necmi Kadıoğlu,"Estambul,Turquía",4350,Estambul,Istanbulspor
"Club Atlético de Madrid, S. A. D.","Colchoneros,[1]​Indios,[1]​Rojiblancos",26 de abril de 1903 (120 años)comoAthletic Club (Sucursal de Madrid),Enrique Cerezo[2]​,Diego Simeone,Cívitas Metropolitano,"Avenida Luis Aragonés, 4. 28022,San Blas-Canillejas,Madrid,España[3]​",70 460 espectadores[4]​,Avenida Luis Aragonés,Atlético de Madrid
Football Club Nordsjælland,No data,1 de julio de 2003 (20 años),Allan K. Pedersen,Flemming Pedersen,Farum Park,"Farum,Dinamarca",10.300,Farum,FC Nordsjaelland
Futboĺny kliub BATE Barysaŭ,BatonyŽoŭta-Blakitnyja(Amarillo-Azul),1973,Andrey Kapski,Kirill Alshevsky,Borisov Arena,"Borísov,Bielorrusia",13.126,Borísov,BATE Borisov
"Rayo Vallecano de Madrid, S. A. D.","Rayistas,Franjirrojos,Rayito,La Franja,Equipo de la Clase Obrera,El Matagigantes[1]​",29 de mayo de 1924 (99 años)comoAgrupación Deportiva El Rayo,Raúl Martín Presa,Iñigo Pérez,Estadio de Vallecas,"Puente de Vallecas,Madrid,España",14 708 espectadores,Puente de Vallecas,Rayo Vallecano
Aston Villa Football Club,The Villans(Los Villanos)The Lions(Los Leones)The Claret & Blue Army[1]​,21 de noviembre de 1874 (149 años)[2]​,Nassef Sawiris,Unai Emery,Villa Park,"Trinity Road, Birmingham B6 6HEBirmingham(Coord.52°30′33″N1°53′05″O﻿ / ﻿52.509167,-1.884722)",42 660 espectadores[3]​,Trinity Road,Aston Villa
Manchester City Football Club,The Citizens (Los ciudadanos)[1]​Sky Blues (Celestes),23 de noviembre de 1880 (143 años)comoSt. Mark's16 de abril de 1894 (129 años)comoManchester City,Khaldoon Al Mubarak,Pep Guardiola,Etihad Stadium,"Mánchester,Reino Unido(Coord.53°28′59″N2°12′01″O﻿ / ﻿53.483056,-2.200278)",55 097,Mánchester,Manchester City
Kayseri Spor Kulübü,Anadolu Yıldızı(Estrella de Anatolia),1 de julio de 1966 (57 años),Ali Çamlı[1]​,Burak Yılmaz,RHG Enertürk Enerji[1]​,"Kayseri,Turquía",32.864[1]​,Kayseri,Kayserispor
Професионален футболен клуб Лудогорец РазградProfesionalen futbolen klub Ludogorets Razgrad,Orlite ot Razgrad(Las Águilas de Razgrad),1 de enero de 1945 (79 años),Aleksandar Aleksandrov,Valdas Dambrauskas,Ludogorets Arena,"Razgrad,Bulgaria",12.500,Razgrad,Ludogorets Razgrad
Futbolʹnyĭ Klub Rubin Kazan,Kazantsyrubinyrubinovyye,20 de abril de 1958 (65 años),Ilsur Metshin,Leonid Slutski,Kazán Arena,"Kazán,Rusia",45.500 espectadores,Kazán,Rubin Kazan
Berner Sport Club Young Boys[1]​,YBDie Gelb-Schwarzen(Los negriamarillos),14 de marzo de 1898 (126 años),Hanspeter Kienberger,Raphaël Wicky,Stadion Wankdorf,"Berna,Suiza",32.000 espectadores,Berna,BSC Young Boys
Paris Saint-Germain Football Club,PSGLes Parisiens(Los Parisinos)Les Rouge et Bleu(Los Rojos y Azules),12 de agosto de 1970 (53 años),Nasser Al-Khelaïfi,Luis Enrique,Parque de los Príncipes,"París,Francia",47.929,París,Paris Saint-Germain
Manchester City Football Club,The Citizens (Los ciudadanos)[1]​Sky Blues (Celestes),23 de noviembre de 1880 (143 años)comoSt. Mark's16 de abril de 1894 (129 años)comoManchester City,Khaldoon Al Mubarak,Pep Guardiola,Etihad Stadium,"Mánchester,Reino Unido(Coord.53°28′59″N2°12′01″O﻿ / ﻿53.483056,-2.200278)",55 097,Mánchester,Manchester City
Adana Demirspor Kulübü,Mavi Şimşekler,1940,Murat Sancak,Patrick Kluivert,Nuevo Estadio de Adana,"Adana,Turquía",35 000 espectadores,Adana,Adana Demirspor
