Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Football Club Cincinnati,FCCOrange and Blue,29 de mayo de 2018 (5 años) en MLS,Jeff Berding,Pat Noonan,TQL Stadium,"Cincinnati,Ohio,Estados Unidos",33.800,Cincinnati,FC Cincinnati
Club Atlético Peñarol,Carboneros[1]​Manyas[2]​Mirasoles[3]​Mirasol[4]​Decano[5]​Aurinegro[6]​,28 de septiembre de 1891 (132 años)[nota 1]​,Ignacio Ruglio,Diego Aguirre,Campeón del Siglo,"Camino Mangangá s/n, 11600 Montevideo, Uruguay[9]​",40 005[10]​[11]​[12]​,Camino Mangangá s/n,CA Peñarol
Cagliari Calcio S.p.A.,I Rossoblu(Los rojos y azules)Gli Isolani(Los isleños)I Sardi(Los sardos)Casteddu(Nombre sardo de Cagliari),30 de mayo de 1920 (103 años),Tommaso Giulini,Claudio Ranieri,Unipol Domus,"Cagliari,Italia",16 000,Cagliari,Cagliari Calcio
Club The Strongest,"Tigre,[1]​[2]​Aurinegro,[3]​Gualdinegro,[4]​Decano[5]​",8 de abril de 1908 (115 años)comoStrong Foot Ball Club.,Ronald Crespo,Pablo Lavallén,Hernando SilesRafael Mendoza Castellón,"Zona Sur, 34 AchumaniLa Paz,Bolivia",41 14314 000,Zona Sur,The Strongest La Paz
Unión Española S.A.D.P.,"La Furia,[1]​El Rojo,[2]​Hispanos[3]​",18 de mayo de 1897 (126 años)comoCentro Español de Instrucción y Recreación[4]​,Arturo Juarros,Miguel Ponce,Santa Laura,"Santa Laura 1241Independencia,Santiago,Chile",19 887 espectadores[5]​,Santa Laura 1241Independencia,Unión Española
SportKlub Puntigamer Sturm Graz,"Die Schwoazn (Los Negritos),Blackies[1]​",1 de mayo de 1909 (114 años),Christian Jauk,Christian Ilzer,Stadion Graz-Liebenau,"Graz,Austria",15.350,Graz,SK Sturm Graz
Royal Sporting Club Anderlecht,Les Mauves Et Blancs(Los Violetas y Blancos),27 de mayo de 1908 (115 años) (creación)1909 (registro),Vouter Vanderhoute,Brian Riemer,Constant Vanden Stock,"Avenue Théo Verbeeck 2, 1070Anderlecht,Bélgica",21 500,Avenue Théo Verbeeck 2,RSC Anderlecht
Royal Antwerp Football Club,Great OldPloeg van 't StadLa Vieja Dama,1880 (144 años),Paul Gheysens,Mark van Bommel,Bosuilstadion,"Amberes,Bélgica",16 649,Amberes,Royal Antwerp FC
Fussballclub Winterthur,No data,1896(128 años),Mike Keller,Alexander Frei,Stadion Schützenwiese,"Winterthur,Suiza","8,500",Winterthur,FC Winterthur
Futbolny Klub Shajtar Donetsk (Футбольний клуб «Шахтар» Донецьк),Kroty (Topos)Hirnyky (Mineros)[1]​,24 de mayo de 1936 (87 años),Rinat Ajmétov,Marino Pušić,Olímpico de Kiev[2]​,"Kiev,Ucrania",70.050 espectadores,Kiev,Shakhtar Donetsk
"Granada Club de Fútbol, S. A. D.","Granadinistas,Nazaríes,Rojiblancos.",6 de abril de 1931 (92 años),Sophia Yang,José Ramón Sandoval,Nuevo Estadio de Los Cármenes,"C/ Pintor Manuel Maldonado s/nGranada,España",22 524[1]​,C/ Pintor Manuel Maldonado s/nGranada,Granada CF
Galatasaray Spor Kulübü,Avrupa FatihiSarl-Kırmılılar,20 de octubre de 1905 (118 años),No data,Okan Buruk,Nef Stadium,"Estambul,Turquía",52.280,Estambul,Galatasaray
Moreirense Futebol Clube,VerdiblancosOs homens de Moreira de Cónegos,1 de noviembre de 1938 (85 años),Vítor Magalhães[1]​,Ricardo Sa Pinto[2]​,Estadio Comendador Joaquim de Almeida Freitas,"Moreira de Cónegos,Portugal",9.000,Moreira de Cónegos,Moreirense FC
Futbalový klub Dunaszerdahelyi Atlétikai Club 1904 Dunajská Streda,DAC,1904,Tibor Vegh,Xisco Muñoz,MOL Aréna,"Dunajská Streda,Eslovaquia",12.700,Dunajská Streda,DAC Dunajska Streda
