Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Colorado Rapids,PidsRapids,6 de junio de 1995 (28 años),Stan Kroenke,Chris Armas,DSG Park,"Commerce City,Colorado,Estados Unidos",33.680,Commerce City,Colorado Rapids
Club Atlético Belgrano,"La ""B""El PirataCeleste",19 de marzo de 1905 (119 años),Luis Fabián Artime,Juan Cruz Real,Julio César Villagra«Gigante de Alberdi»,"Arturo Orgaz 510Córdoba,Argentina",34 830 espectadores[2]​,Arturo Orgaz 510Córdoba,Club Atlético Belgrano
Club Atlético Peñarol,Carboneros[1]​Manyas[2]​Mirasoles[3]​Mirasol[4]​Decano[5]​Aurinegro[6]​,28 de septiembre de 1891 (132 años)[nota 1]​,Ignacio Ruglio,Diego Aguirre,Campeón del Siglo,"Camino Mangangá s/n, 11600 Montevideo, Uruguay[9]​",40 005[10]​[11]​[12]​,Camino Mangangá s/n,CA Peñarol
Ternana Calcio S.p.A.,Rossoverdi(Rojiverdes)Fere(Fieras),1925comoUnione Calcistica Ternana,Nicola Guida,Cristiano Lucarelli,Libero Liberati,"Terni,Italia",22.000 espectadores,Terni,Ternana Calcio
Udinese Calcio,FriulaniBianconeriLe Zebrette,1 de enero de 1896 (128 años),Franco Soldati,Gabriele Cioffi,Stadio Friuli,"Údine,Italia",25 000 espectadores,Údine,Udinese Calcio
Al-Seeb Sports Club,Sayyid El Nawadi,1 de mayo de 1972 (51 años),Shihab bin Tariq,Jorvan Vieira,Al-Seeb Stadium,"Mascate,Omán",14000,Mascate,Al-Seeb Club
Jeonbuk Hyundai Motors Football Club전북 현대 모터스 축구단,Guerreros VerdesGeneral Motors,12 de diciembre de 1994 (29 años)(Chonbuk Dinos F. C.),Chung Eui-sun,Kim Do-heon(interim),Estadio Mundialista de Jeonju,"Jeonju,Corea del Sur",43.348,Jeonju,Jeonbuk Hyundai Motors
Nogometni Klub Osijek,Bijelo-plavi (Blanquiazules),27 de febrero de 1947 (77 años),Ferenc Sakaljj,Stjepan Tomas,Opus Arena,"Osijek,Croacia",13.050,Osijek,NK Osijek
Koninklijke Racing Club Genk,Blauw-Wit(Azul-Blanco)RacingKRCDe Smurfen(Los Pitufos),19231988 (fusión),Peter Croonen,Wouter Vrancken,Cegeka Arena,"Genk,Bélgica",24.956[1]​ espectadores,Genk,KRC Genk
Clermont Foot Auvergne,Les Lanciers,1931 (113 años),Ahmet Schaefer,Pascal Gastien,Gabriel Montpied,"Clermont-Ferrand,Francia",12 600,Clermont-Ferrand,Clermont Foot 63
"Sociedad Deportiva Huesca, S. A. D.[1]​","Oscenses, Azulgranas",29 de marzo de 1960 (63 años),Fernando Callizo[3]​,Antonio Hidalgo[4]​,Estadio El Alcoraz,"Cno. Cocorón, s/nHuesca,Aragón,España42°07′55″N0°25′28″O﻿ / ﻿42.13194,-0.42444",9128 espectadores,Cno. Cocorón,SD Huesca
Football Club de Sion,No data,1909(115 años),Christian Constantin,Didier Tholot,Stade de Tourbillon,"Sion,Suiza",16.000,Sion,FC Sion
Athletic Club Ajaccien,L'ours (El Oso)[1]​,1910 (114 años),Christian Leca,Olivier Pantaloni,Stade François-Coty,"Ajaccio,Francia",13.520,Ajaccio,AC Ajaccio
Fußball-Club Augsburg 1907 e. V.,"Fuggerstädter(Llamado así por la famosafamilia Fuggerde Augsburgo, fundadores deFuggerei)",8 de agosto de 1907 (116 años),Klaus Hofmann,Jess Thorup,Impuls Arena,"Augsburgo,Alemania",30 660,Augsburgo,FC Augsburg
Albacete Balompié S. A. D.[1]​,"Alba,Albacetistas,Queso Mecánico,Blancos",5 de julio de 1939 (84 años),Georges Kabchi,Rubén Albés,Municipal Carlos Belmonte,"Av. de España s/nAlbacete,España",17 524 espectadores,Av. de España s/nAlbacete,Albacete Balompié
Bollklubben Häcken,Getingarna (Las Avispas),2 de agosto de 1940 (83 años),Anders Billström,Pål Arne Johansen,Bravida Arena,Gotemburgo(Suecia),6.500,Gotemburgo(Suecia),BK Häcken
Unione Sportiva Lecce S.p.A.,Giallorossi(Aurirrojos)Salentini(Salentinos)Lupi(Lobos),15 de marzo de 1908 (116 años)comoSporting Club Lecce,Saverio Sticchi Damiani,Luca Gotti,Stadio Via del Mare,"Lecce,Italia",31.533 espectadores[1]​,Lecce,US Lecce
Професионален футболен клуб Лудогорец РазградProfesionalen futbolen klub Ludogorets Razgrad,Orlite ot Razgrad(Las Águilas de Razgrad),1 de enero de 1945 (79 años),Aleksandar Aleksandrov,Valdas Dambrauskas,Ludogorets Arena,"Razgrad,Bulgaria",12.500,Razgrad,Ludogorets Razgrad
Futboĺny kliub Dynama Miensk,No data,18 de junio de 1927 (96 años),Andrey Tolmach,Vadim Skripchenko,Dinamo,"Minsk,Bielorrusia",22.000,Minsk,Dinamo Minsk
Liverpool Football Club,The Reds(Los Rojos)[1]​,3 de junio de 1892 (131 años)[2]​,Tom Werner,Jürgen Klopp,Anfield,"Anfield Road, L2-0THLiverpool,Merseyside",53 394 espectadores[3]​,Anfield Road,Liverpool FC
Barnsley Football Club,The TykesThe RedsThe Super Reds,1887 (137 años)comoPenesley St. Peter's,Chien LeePaul ConwayGrace HungNeerav ParekhBilly BeaneFamilia Cryne(accionistas mayoritarios y presidentes.),Neill Collins,Oakwell Stadium,"Grove StreetBarnsley(Coord.53°33′08″N1°28′03″O﻿ / ﻿53.552222,-1.4675)",23 009 espectadores[1]​,Grove StreetBarnsley(Coord.53°33′08″N1°28′03″O﻿ / ﻿53.552222,Barnsley FC
Football Club Twente,The TukkersPride of the EastThe Reds,1 de julio de 1965 (58 años),Paul van der Kraan,Joseph Oosting,De Grolsch Veste,"Enschede,Países Bajos",30.205[1]​ espectadores,Enschede,Twente Enschede FC
Wigan Athletic Football Club,The Tree(El Árbol)The LaticsThe Tics,1932 (92 años),Ben Goodburn,Shaun Maloney,DW Stadium,"Loire DriveWigan(Coord.53°32′52″N2°39′14″O﻿ / ﻿53.547778,-2.653889)",25 133 espectadores,Loire DriveWigan(Coord.53°32′52″N2°39′14″O﻿ / ﻿53.547778,Wigan Athletic
1. Fussballclub Magdeburg,FCMDer Club(El Club),22 de diciembre de 1965 (58 años),Jörg Biastoch,Christian Titz,MDCC-Arena,"Magdeburgo,Alemania",30 098,Magdeburgo,1.FC Magdeburg
No data,No data,No data,No data,No data,No data,No data,No data,No data,Basaksehir FK
Professional Futbol Klubi Andijon,Águilas,1964,Abdulhamid Nishonov,Orif Mamatkazin,Soghlom Avlod Stadium,"Andijan,Uzbekistán","18,360",Andijan,FK Andijon
Jeunesse Sportive de la Saoura,Águilas,1 de septiembre de 2008 (15 años),Mohamed Zerouati,Nacif Beyaoui,Stade 20 Août 1955,"Meridja,Argelia",21.000,Meridja,JS Saoura
América Futebol Clube,Coelho (Conejo)[1]​[2]​,30 de abril de 1912 (111 años),Alencar da Silveira Júnior[3]​,Cauan de Almeida[5]​,Independencia,"Belo Horizonte,Brasil",23.018,Belo Horizonte,América Futebol Clube (MG)
ACF FiorentinaS.p.A.,ViolaGigliati,29 de agosto de 1926 (97 años)comoAssociazione Calcio Fiorentina,Rocco Commisso,Vincenzo Italiano,Artemio Franchi,"Viale Manfredo Fanti, 4Florencia,Italia",47 300 espectadores,Viale Manfredo Fanti,ACF Fiorentina
Legia Warszawa Spółka Akcyjna,Wojskowi(Militares)Legioniści(Legionarios),5 de marzo de 1916 (108 años)comoDrużyna Sportowa Legia[1]​,Dariusz Mioduski,Kosta Runjaić,Ejército Polaco,"Varsovia,Polonia",31 800 espectadores,Varsovia,Legia Warszawa
No data,No data,No data,No data,No data,No data,No data,No data,No data,GE Anápolis
Wuhan Three Towns Football Club武汉三镇足球俱乐部,No data,20 de abril de 2016 (7 años),Wang Fang,Ricardo Rodríguez,Hankou Cultural Sports Centre,"Wuhan,Hubei,China",20.000,Wuhan,Wuhan Three Towns
Olympique Gymnaste Club de Nice,Les Aiglons(Las Águilas)L'OGCN,9 de julio de 1904 (119 años),Jean-Pierre Rivère,Francesco Farioli,Allianz Riviera,"Niza,Francia",35 000,Niza,OGC Nice
Adana Demirspor Kulübü,Mavi Şimşekler,1940,Murat Sancak,Patrick Kluivert,Nuevo Estadio de Adana,"Adana,Turquía",35 000 espectadores,Adana,Adana Demirspor
Paris Saint-Germain Football Club,PSGLes Parisiens(Los Parisinos)Les Rouge et Bleu(Los Rojos y Azules),12 de agosto de 1970 (53 años),Nasser Al-Khelaïfi,Luis Enrique,Parque de los Príncipes,"París,Francia",47.929,París,Paris Saint-Germain
"Športový klub Slovan Bratislava futbal, a.s.",Belasí(Celestes)Jastrabi z Tehelného poľa (Halcones de Brickfield)Králi Bratislavy(Reyes de Bratislava),3 de mayo de 1919 (104 años),Ivan Kmotrík,Vladimir Weiss,Tehelné pole,"Bratislava,Eslovaquia",22 500,Bratislava,Slovan Bratislava
Como 1907 S.r.l.,Lariani(Larianos)Azzurri(Azules)Biancoblù(Blanquiazules)Voltiani(Voltianos),1907comoFootball Club Como[1]​,Dennis Wise(administrador único),Cesc Fàbregas(interino)[2]​,Stadio Giuseppe Sinigaglia[1]​,"Como,Italia",13.602 espectadores[1]​,Como,Como 1907
Esteghlal Tehran Football Club,AzulesSSTaj (Corona),26 de septiembre de 1945 (78 años),Ali Khatir,Javad Nekounam,Azadi,"Teherán,Irán",78.116,Teherán,Esteghlal FC
"Granada Club de Fútbol, S. A. D.","Granadinistas,Nazaríes,Rojiblancos.",6 de abril de 1931 (92 años),Sophia Yang,José Ramón Sandoval,Nuevo Estadio de Los Cármenes,"C/ Pintor Manuel Maldonado s/nGranada,España",22 524[1]​,C/ Pintor Manuel Maldonado s/nGranada,Granada CF
