Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Fudbalski klub Spartak Subotica,Plavi Golubovi(Palomas azules),21 de abril de 1945 (78 años),Nikola Simović,Vladimir Buač,Gradski stadion Subotica,"Subotica,Serbia",13.000,Subotica,FK Spartak Subotica
Club Social y Deportivo Defensa y Justicia,El Halcón de Varela,20 de marzo de 1935 (89 años),Diego Lemme,Julio Vaccari,Norberto Tomaghello,"Av. Humahuaca 244 y Calle 501Florencio Varela,Buenos Aires,Argentina",20.000 espectadores,Av. Humahuaca 244 y Calle 501Florencio Varela,Defensa y Justicia
No data,No data,No data,No data,No data,No data,No data,No data,No data,Al-Ahli Benghazi
Huddersfield Town A. F. C.,The Terriers,15 de agosto de 1908 (115 años),Dean Hoyle,André Breitenreiter,John Smith's Stadium,"Huddersfield(Coord.53°39′15″N1°46′06″O﻿ / ﻿53.654167,-1.768333)",24 500 espectadores,Huddersfield(Coord.53°39′15″N1°46′06″O﻿ / ﻿53.654167,Huddersfield Town
No data,No data,No data,No data,No data,No data,No data,No data,No data,Shams Azar Qazvin
São Paulo Futebol Clube,Tricolor PaulistaTricolor del MorumbiSoberano[1]​O Clube da Fé[2]​Los Brancos,25 de enero de 1930 (94 años),Julio Casares[3]​,Thiago Carpini[5]​,MorumBIS,"São Paulo,Brasil",72 039 espectadores,São Paulo,São Paulo Futebol Clube
Астана футбол клубыAstana Fútbol Club,Sine-zholtyye(Azul y amarillo),2009 (11 años) comoLokomotiv Astana,Tastanbek Esentaev,Srđan Blagojević,Astana Arena,"Astaná,Kazajistán",30 000[1]​,Astaná,FC Astana
Navbahor Professional Football Club,No data,1978 (46 años),Hakimjon Hashimov,Samvel Babayan,"Markaziy StadiumNamangan,Uzbekistán",No data,21 913,No data,Navbahor Namangan
"Sportovní Klub Slavia Praha Fotbal, Akciová Společnost",Červenobílí(Rojiblancos)Sešívaní(Los cosidos)Věčná Slavia(Eterno Slavia),2 de noviembre de 1892 (131 años),Jaroslav Tvrdík,Jindřich Trpišovský,Fortuna Arena,"Praga,República Checa",21.000 espectadores,Praga,SK Slavia Prague
Jeonbuk Hyundai Motors Football Club전북 현대 모터스 축구단,Guerreros VerdesGeneral Motors,12 de diciembre de 1994 (29 años)(Chonbuk Dinos F. C.),Chung Eui-sun,Kim Do-heon(interim),Estadio Mundialista de Jeonju,"Jeonju,Corea del Sur",43.348,Jeonju,Jeonbuk Hyundai Motors
Fortaleza Esporte Clube,Leão do Pici (León del Pici)[1]​Tricolor de Aço(Tricolor de Acero)[2]​,18 de octubre de 1918 (105 años),Alex Santiago[3]​,Juan Pablo Vojvoda[4]​,Castelão,"Fortaleza,Brasil",65 000 espectadores,Fortaleza,Fortaleza Esporte Clube
Ismaily Sporting Club,Al-daraweeshEl SambaBrasil de África,13 de abril de 1924 (99 años),Yahya El-Koumi[1]​,Juan Carlos Garrido[2]​,Estadio de Ismailia,"Ismailia,Egipto",30 000 espectadores,Ismailia,Ismaily SC
FC PanserraikosΠανσερραϊκός Γ.Σ.,Λιοντάρια (Leones)Ερυθρόλευκοι (Rojiblancos),1964,Petros Theodoridis,No data,Serres Stadium,"Serres,Grecia",9.500,Serres,Panserraikos
