Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Fudbalski klub Spartak Subotica,Plavi Golubovi(Palomas azules),21 de abril de 1945 (78 años),Nikola Simović,Vladimir Buač,Gradski stadion Subotica,"Subotica,Serbia",13.000,Subotica,FK Spartak Subotica
Fudbalski klub Spartak Subotica,Plavi Golubovi(Palomas azules),21 de abril de 1945 (78 años),Nikola Simović,Vladimir Buač,Gradski stadion Subotica,"Subotica,Serbia",13.000,Subotica,FK Spartak Subotica
Associação Chapecoense de Futebol,Campeón Eterno[1]​Verdão[2]​Chape[3]​[4]​,10 de mayo de 1973 (50 años)[5]​[6]​,Alex Passos[7]​,Umberto Louzer[9]​,Arena Condá,"ChapecóSanta Catarina,Brasil",22 830 espectadores[10]​,ChapecóSanta Catarina,Associação Chapecoense de Futebol
Muaither Sports Club,Muaither,1996,Saleh Al-Ajji[1]​,Munir Jouani[3]​,Muaither Sports Club Stadium,"Rayán,Catar",27 000,Rayán,Muaither SC
No data,No data,No data,No data,No data,No data,No data,No data,No data,Khor Fakkan SSC
Club Atlético Peñarol,Carboneros[1]​Manyas[2]​Mirasoles[3]​Mirasol[4]​Decano[5]​Aurinegro[6]​,28 de septiembre de 1891 (132 años)[nota 1]​,Ignacio Ruglio,Diego Aguirre,Campeón del Siglo,"Camino Mangangá s/n, 11600 Montevideo, Uruguay[9]​",40 005[10]​[11]​[12]​,Camino Mangangá s/n,CA Peñarol
Minnesota United Football Club,Los Bribones(The Loons),25 de marzo de 2015 (9 años),No data,Eric Ramsay,Allianz Field,"St. Paul,Minnesota,Estados Unidos",19.400,St. Paul,Minnesota United FC
Club de Foot Montréal,Impact(Impacto),10 de diciembre de 2010 (13 años)(comoImpact de Montréal),Gabriel Gervais,Laurent Courtois,Saputo,"Montreal,Quebec,Canadá",20.521,Montreal,CF Montréal
Colorado Rapids,PidsRapids,6 de junio de 1995 (28 años),Stan Kroenke,Chris Armas,DSG Park,"Commerce City,Colorado,Estados Unidos",33.680,Commerce City,Colorado Rapids
Sport Club Internacional,Inter[1]​Colorado[2]​Orgulho do Brasil[3]​Campeão de Tudo[4]​,4 de abril de 1909 (114 años),Alessandro Barcellos[5]​,Eduardo Coudet[7]​,Beira-Rio,"Porto Alegre,Brasil",51 300[8]​,Porto Alegre,Sport Club Internacional
Genoa Cricket and Football Club S. p. A.,Vecchio Balordo[1]​,7 de septiembre de 1893 (130 años)[2]​,Alberto Zangrillo[3]​,Alberto Gilardino,Luigi Ferraris,"Via Giovanni de Prà, 1 16139,Génova,Italia",36 599 espectadores,Via Giovanni de Prà,Genoa CFC
Alanyaspor,No data,1948 (76 años),Hasan Çavuşoğlu,Cagdas Atan,Estadio Bahçeşehir Okulları,"Alanya,Turquía",10 842 espectadores[1]​,Alanya,Alanyaspor
Nottingham Forest Football Club,Tricky Trees(Árboles Astutos)The Reds(Los Rojos)Forest(El Bosque),1865 (159 años)[1]​,Nicholas Randall,Nuno Espírito Santo,City Ground,"Nottingham,Reino Unido(Coord.52°56′24″N1°07′58″O﻿ / ﻿52.94,-1.132778)",30 500 espectadores,Nottingham,Nottingham Forest
Fútbol Club Juárez[1]​,Bravos[2]​,29 de mayo de 2015 (8 años),Luis Rodríguez,Maurício Barbieri,Olímpico Benito Juárez,"Ciudad Juárez,Chihuahua",19 703 espectadores,Ciudad Juárez,FC Juárez
Football Club Baník Ostrava,Baníček,1922,Petr Šafarčík,Radomír Korytář,Estadio Bazaly,"Ostrava,República Checa",17.372,Ostrava,FC Banik Ostrava
Football Club Lorient,Les Merlus(Merluzas)[1]​Les tango et noir[2]​,No data,Loïc Fery,Régis Le Bris,Stade du Moustoir,"Lorient,Francia",18 890,Lorient,FC Lorient
Ποδοσφαιρική Ανώνυμη Εταιρεία Ολυμπιακός(Podosfairikí Anónymi Etaireía Olympiakós)(Sociedad Anónima de Fútbol Olímpico),Τhrylos (La leyenda)Erythrolefki (Rojiblancos),10 de marzo de 1925 (99 años)Ολυμπιακός Σύνδεσμος Φιλάθλων Πειραιώς(Olympiakós Sýndesmos Filáthlon Peiraiós)(Club Olímpico de Fanes de El Pireo),Evangelos Marinakis,José Luis Mendilibar,Estadio Georgios Karaiskakis,"El Pireo,Grecia",33.334[1]​ espectadores,El Pireo,Olympiacos Piraeus
"Sportovní Klub Slavia Praha Fotbal, Akciová Společnost",Červenobílí(Rojiblancos)Sešívaní(Los cosidos)Věčná Slavia(Eterno Slavia),2 de noviembre de 1892 (131 años),Jaroslav Tvrdík,Jindřich Trpišovský,Fortuna Arena,"Praga,República Checa",21.000 espectadores,Praga,SK Slavia Prague
Coritiba Foot Ball Club,"Coxa,[1]​Coxa-branca[2]​",12 de octubre de 1909 (114 años)[3]​,Glenn Stenger[4]​,Guto Ferreira[5]​,Estadio Major Antônio Couto Pereira,"Curitiba,Brasil",40 502 espectadores,Curitiba,Coritiba Foot Ball Club
Adana Demirspor Kulübü,Mavi Şimşekler,1940,Murat Sancak,Patrick Kluivert,Nuevo Estadio de Adana,"Adana,Turquía",35 000 espectadores,Adana,Adana Demirspor
Deportivo Independiente Medellín,El Poderoso de la MontañaEl Rojo de la MontañaEl Equipo del PuebloEl Rey de CorazonesEl Azul y RojoEl DIMEl DecanoEl MedalloEl MatadorEl Milancito,14 de noviembre de 1913 (110 años),Daniel Ossa Giraldo,Alfredo Arias,Atanasio Girardot,"Medellín,Antioquia,Colombia",46 000[1]​,Medellín,Independiente Medellín
Futboĺny kliub BATE Barysaŭ,BatonyŽoŭta-Blakitnyja(Amarillo-Azul),1973,Andrey Kapski,Kirill Alshevsky,Borisov Arena,"Borísov,Bielorrusia",13.126,Borísov,BATE Borisov
Sport Club Corinthians Paulista,Coringão[1]​Timão[2]​ (Equipazo)Time do Povo (Equipo del Pueblo)[3]​,1 de septiembre de 1910 (113 años),Augusto Melo[4]​,António Oliveira[5]​,Neo Química Arena,"Sao Paulo,Brasil",49 205 espectadores[6]​,Sao Paulo,Sport Club Corinthians Paulista
