Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Austin Football Club,Los Robles(The Oaks)The Verde and BlackLos Verdes,12 de octubre de 2018 (5 años),Anthony Precourt,Josh Wolff,Q2 Stadium,"Austin,Texas,Estados Unidos",20.738 (espectadores),Austin,Austin FC
Ордабасы Футбол Клубы ШымкентOrdabasy Futbol Kluby Shymkent,No data,1949,Nurzan Katayev,Aleksandr Sednyov,Estadio Kazhymukan Munaitpasov (Shymkent),"Shymkent,Kazajistán",20 000,Shymkent,Ordabasy Shymkent
Gaziantep Futbol Kulübü,No data,1988 (36 años),Mehmet Büyükekşi,Selçuk İnan,Gaziantep Arena,"Gaziantep,Turquía",35.558,Gaziantep,Gaziantep FK
Royal Sporting Club Anderlecht,Les Mauves Et Blancs(Los Violetas y Blancos),27 de mayo de 1908 (115 años) (creación)1909 (registro),Vouter Vanderhoute,Brian Riemer,Constant Vanden Stock,"Avenue Théo Verbeeck 2, 1070Anderlecht,Bélgica",21 500,Avenue Théo Verbeeck 2,RSC Anderlecht
Stellenbosch Football Club,Stellies,3 de agosto de 2016 (7 años),No data,Steve Barker,Coetzenburg Stadium,"Stellenbosch,Sudáfrica","8,000[1]​",Stellenbosch,Stellenbosch FC
Goiás Esporte Clube,Esmeraldino[1]​,6 de abril de 1943 (80 años),Paulo Rogério Pinheiro[2]​,Zé Ricardo[4]​,Estadio Serra Dourada,"Goiânia,Brasil",42 700 espectadores[5]​,Goiânia,Goiás EC
Club de Fútbol Pachuca,Tuzos.[1]​,1 de noviembre de 1892 (131 años)[2]​[3]​[4]​,Armando Martínez,Guillermo Almada,Hidalgo,"Pachuca,Hidalgo",27 000 espectadores,Pachuca,CF Pachuca
Konyaspor Kulübü,Anadolu Kartalı (Águila de Anatolia)Yeşil Beyaz (Los Verdi-Blancos),22 de junio de 1922 (101 años),Fatih Özgökçen,Aleksandar Stanojević,Estadio Konya Büyükşehir,"Konya,Turquía",40 000,Konya,Konyaspor
Ajman Club,Brigada Naranja,5 de noviembre de 1974 (49 años),Humaid bin Rashid,Goran Tufegdžić[1]​,Ajman Stadium,"Ajman,EAU",5537,Ajman,Ajman Club
Como 1907 S.r.l.,Lariani(Larianos)Azzurri(Azules)Biancoblù(Blanquiazules)Voltiani(Voltianos),1907comoFootball Club Como[1]​,Dennis Wise(administrador único),Cesc Fàbregas(interino)[2]​,Stadio Giuseppe Sinigaglia[1]​,"Como,Italia",13.602 espectadores[1]​,Como,Como 1907
Қайрат футбол клубы,Narodnaya komanda(«El equipo del pueblo»)[1]​,1954 (70 años),Kairat Boranbayev,Kirill Keker,Estadio Central,"Almatý,Kazajistán",23 804[2]​,Almatý,Kairat Almaty
