Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Esporte Clube Bahia,No data,No data,No data,No data,No data,No data,No data,No data,Hapoel Tel Aviv
Club Atlético Chacarita Juniors,FunebreroTricolor,1 de mayo de 1906 (117 años),Néstor Di Pierro,Aníbal Biggeri,Estadio de Chacarita Juniors,"Sede social principal y asentamiento legal: Teodoro García 3550 (Ciudad Autónoma de Buenos Aires).Estadio principal de fútbol: Gutiérrez 351, (Villa Maipú,Provincia de Buenos Aires)",19000[1]​[2]​,Sede social principal y asentamiento legal: Teodoro García 3550 (Ciudad Autónoma de Buenos Aires).Estadio principal de fútbol: Gutiérrez 351,FK Javor-Matis Ivanjica
Club Athletico Paranaense,Furacão(Huracán)Rubro-Negro(Rojinegro),26 de marzo de 1924 (99 años),Mario Celso Petraglia[1]​,Cuca[3]​,Arena da Baixada,"Curitiba,Paraná,Brasil",42 372 espectadores,Curitiba,Club Atlético Morelia
SCFotbal Club FCSB SA,Roș-albaștrii[1]​(Rojiazules),No data,Valeriu Argăseală,Elias Charalambous,Arena Națională(actualmente),"Bucarest,Rumania",55 635 espectadores,Bucarest,Esporte Clube Bahia
Football Club de Nantes,Les Canaris (es. Los Canarios)[1]​,21 de abril de 1943 (80 años),Waldemar Kita,Jocelyn Gourvennec,La Beaujoire,"Nantes,Francia","38,486 espectadores",Nantes,CA Chacarita Juniors
Nogometni Klub Osijek,Bijelo-plavi (Blanquiazules),27 de febrero de 1947 (77 años),Ferenc Sakaljj,Stjepan Tomas,Opus Arena,"Osijek,Croacia",13.050,Osijek,Club Athletico Paranaense
Rangers Football Club,"The Gers, The Light Blues (Los azules claros), The Teddy Bears (Los osos de peluche)",Marzo de 1872 (152 años),John Bennett,Philippe Clement,Ibrox Stadium,"Glasgow,Escocia",50 987 espectadores,Glasgow,FCSB
Football Club Viktoria Plzeň,No data,11 de junio de 1911 (112 años),Adolf Šádek,Miroslav Koubek[1]​,Doosan Arena,"Pilsen,República Checa",11.700[2]​ espectadores,Pilsen,FC Nantes
Grasshopper-Club Zürich,GrasshoppersGCZ,1 de septiembre de 1886 (137 años),Peter Fanconi,Giorgio Contini,Letzigrund,"Zúrich,Suiza",26.000,Zúrich,NK Osijek
Futebol Clube de Vizela,Vizelenses,1939,Eduardo Guimarães,Rubén de la Barrera,Estádio do Futebol Clube de Vizela,"Vizela,Portugal",6100,Vizela,Rangers FC
Charlotte Football Club,El Acuñado(The Minted)Equipo de las Carolinas(Team of the Carolinas),17 de diciembre de 2019 (4 años),No data,Dean Smith,Bank of America,"Charlotte,Carolina del Norte,Estados Unidos",38.000 (ampliable a 74.867),Charlotte,FC Viktoria Plzen
Ulsan HD Football Club울산 HD FC,Tigres,6 de diciembre de 1983 (40 años)(comoHyundai Horang-i),Kwon Oh-gab,Hong Myung-bo,Estadio de Fútbol Ulsan Munsu,"Ulsan,Corea del Sur",44.466,Ulsan,Grasshopper Club Zurich
Adana Demirspor Kulübü,Mavi Şimşekler,1940,Murat Sancak,Patrick Kluivert,Nuevo Estadio de Adana,"Adana,Turquía",35 000 espectadores,Adana,FC Vizela
"Unión Deportiva Almería, S. A. D.","Almería,Indálicos,Almeriensistas",26 de julio de 1989 (33 años),Turki Al-Sheikh[1]​,Pepe Mel,Estadio de los Juegos Mediterráneos,"Almería,España",18 331 espectadores[2]​,Almería,Charlotte FC
Wuhan Three Towns Football Club武汉三镇足球俱乐部,No data,20 de abril de 2016 (7 años),Wang Fang,Ricardo Rodríguez,Hankou Cultural Sports Centre,"Wuhan,Hubei,China",20.000,Wuhan,Ulsan HD FC
"Sportovní Klub Slavia Praha Fotbal, Akciová Společnost",Červenobílí(Rojiblancos)Sešívaní(Los cosidos)Věčná Slavia(Eterno Slavia),2 de noviembre de 1892 (131 años),Jaroslav Tvrdík,Jindřich Trpišovský,Fortuna Arena,"Praga,República Checa",21.000 espectadores,Praga,Adana Demirspor
Ballspielverein Borussia 09 e.V. Dortmund(Borussia Dortmund GmbH & Co. KGaA)[1]​,Die Schwarzgelben(Los negriamarillos)[2]​,19 de diciembre de 1909 (114 años),Reinhold Lunow,Edin Terzić,Signal Iduna Park,"Strobelalee, 50, 44139Dortmund,Renania del Norte-Westfalia,Alemania",81.500 espectadores[3]​,Strobelalee,UD Almería
Futbolʹnyĭ Klub Rubin Kazan,Kazantsyrubinyrubinovyye,20 de abril de 1958 (65 años),Ilsur Metshin,Leonid Slutski,Kazán Arena,"Kazán,Rusia",45.500 espectadores,Kazán,Wuhan Three Towns
Shandong TaishanShāndōng Tàishān山东泰山,"Taishan Dui(enchino simplificado,泰山队;pinyin,Tàishān Duì, literalmente 'El equipo delMonte Tai')",2 de diciembre de 1993 (30 años),Liu Yu,Hao Wei[1]​,Jinan Olympic Sports Center Stadium,"Jinan,China",56 808,Jinan,SK Slavia Prague
Club Atlético Boca Juniors,Xeneize[1]​Azul y Oro[2]​La Mitad Más Uno[3]​,3 de abril de 1905 (118 años),Juan Román Riquelme,Diego Martínez,Alberto J. Armando«La Bombonera»,"Brandsen 805,Buenos Aires,Argentina34°38′08″S58°21′53″O﻿ / ﻿-34.63556,-58.36472",57 200 espectadores[5]​,Brandsen 805,Borussia Dortmund
Wolverhampton Wanderers Football Club,Wolves(Lobos)The Wanderers(Los Errantes),1877 (147 años)comoSt. Luke's,Jeff Shi[2]​,Gary O'Neil,Molineux Stadium,"Wolverhampton(Coord.52°35′25″N2°07′49″O﻿ / ﻿52.590278,-2.130278)","30,852 espectadores[3]​",Wolverhampton(Coord.52°35′25″N2°07′49″O﻿ / ﻿52.590278,Rubin Kazan
Navbahor Professional Football Club,No data,1978 (46 años),Hakimjon Hashimov,Samvel Babayan,"Markaziy StadiumNamangan,Uzbekistán",No data,21 913,No data,Shandong Taishan
