Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
San Jose Earthquakes,No data,No data,No data,No data,No data,No data,No data,No data,CD Everton
New York City Football Club,Las Palomas(Pigeons)Neoyorquinos(Newyorkers)Los Ciudadanos Estadounidenses(The American Citizens / Cityzens),21 de mayo de 2013 (10 años),Brad Sims (CEO),Nick Cushing,Yankee Stadium,"Bronx,Nueva York,Estados Unidos",52.235 de Espectadores,Bronx,FK Partizan Belgrade
Club Athletico Paranaense,Furacão(Huracán)Rubro-Negro(Rojinegro),26 de marzo de 1924 (99 años),Mario Celso Petraglia[1]​,Cuca[3]​,Arena da Baixada,"Curitiba,Paraná,Brasil",42 372 espectadores,Curitiba,San Jose Earthquakes
Coritiba Foot Ball Club,"Coxa,[1]​Coxa-branca[2]​",12 de octubre de 1909 (114 años)[3]​,Glenn Stenger[4]​,Guto Ferreira[5]​,Estadio Major Antônio Couto Pereira,"Curitiba,Brasil",40 502 espectadores,Curitiba,New York City FC
Guayaquil City Fútbol Club,El Equipo de la Ciudad[1]​Los CiudadanosLos CiitadinosLos CelestesLos Albicelestes,7 de septiembre de 2007 (16 años)comoClub Deportivo River Plate Ecuador,Iván Mendoza,Pool Gavilánez,Christian Benítez Betancourt,"Av. Paseo del Parque junto alParque Samanes,Guayaquil,Ecuador",10 150 espectadores[2]​,Av. Paseo del Parque junto alParque Samanes,Club Athletico Paranaense
No data,No data,No data,No data,No data,No data,No data,No data,No data,Coritiba Foot Ball Club
Botafogo de Futebol e Regatas,Fogão[1]​Estrela Solitaria(Estrella Solitaria)[2]​Glorioso[3]​,12 de agosto de 1904 (119 años),Durcesio Mello[5]​,Fabio Matias (interino)[7]​,"Estadio Nilton SantosRío de Janeiro,Brasil",No data,46.931 espectadores,No data,Guayaquil City FC
Göztepe Spor Kulübü,Göz GözTam 35,14 de junio de 1925 (98 años),Mehmet Sepil,Stanimir Stoilov,Gürsel Aksel Stadium,"Esmirna,Turquía",25.035 espectadores,Esmirna,Sociedade Esportiva Palmeiras
No data,No data,No data,No data,No data,No data,No data,No data,No data,Botafogo de Futebol e Regatas
Atlanta United Football Club,Las Cinco Rayas(The Five Stripes),16 de diciembre de 2014 (9 años),Santy Flores,Gonzalo Pineda,Mercedes-Benz Stadium,"Atlanta,Georgia,Estados Unidos",71 .000,Atlanta,Göztepe
SportKlub Puntigamer Sturm Graz,"Die Schwoazn (Los Negritos),Blackies[1]​",1 de mayo de 1909 (114 años),Christian Jauk,Christian Ilzer,Stadion Graz-Liebenau,"Graz,Austria",15.350,Graz,Fenerbahce
Hannoverscher Sportverein von 1896,Los rojos,12 de abril de 1896 (127 años),Sebastián Kramer,Stefan Leitl,HDI-Arena,"Hannover,Alemania",49 000,Hannover,Atlanta United FC
Viking Fotballklubb,Di mørkeblå(Los azul oscuro),10 de agosto de 1899 (124 años),Stig Cristiansen,Bjarte Lunde Aarsheim,Viking Stadion,"Stavanger,Noruega",16 600,Stavanger,SK Sturm Graz
Futbol Klubi Pakhtakor,Paxtakorlar (Algodoneros)Sherlar (Leones)Xalq jamoasi (Equipo del Pueblo),11 de abril de 1956 (67 años),Bobur Shodiev,Slavče Vojneski,Estadio Pakhtakor Markaziy,"Taskent,Uzbekistán",35 000,Taskent,Hannover 96
"Sport Lisboa e Benfica ""B""",Águilas,1999,Luís Filipe Vieira,Renato Paiva[1]​,"Estádio da Tapadinha[2]​Lisboa,Portugal",No data,10.000,No data,Viking FK
Sportklub Rapid Wien,Die Grün-Weißen(Verdiblancos)Hütteldorfer,8 de enero de 1899 (125 años),Martin Bruckner,Zoran Barišić,Allianz Stadion,"Keißlergasse 6,Viena,Austria",28 345 espectadores,Keißlergasse 6,Pakhtakor Tashkent
Galatasaray Spor Kulübü,Avrupa FatihiSarl-Kırmılılar,20 de octubre de 1905 (118 años),No data,Okan Buruk,Nef Stadium,"Estambul,Turquía",52.280,Estambul,SL Benfica B
Kocaelispor Kulübü,Luces Verdes,1966,Huseyin Usulmez,Firat Gul,Estadio de Kocaeli,"Izmit,Turquía",34.700,Izmit,Rapid Vienna
Yverdon-Sport Fussball Club,No data,1 de julio de 1948 (75 años),Paul-André Cornu,Marco Schällibaum,Stade Municipal de Yverdon,"Yverdon-les-Bains,Suiza",6.000,Yverdon-les-Bains,Galatasaray
Fußball Club Red Bull Salzburg,Die Roten Bullen (Los Toros Rojos),13 de septiembre de 1933 (90 años)(como Sportverein Austria Salzburgo),Harald Lürzer,Gerhard Struber,Red Bull Arena,"Wals-Siezenheim,Salzburgo,Austria",31 895 espectadores[2]​,Wals-Siezenheim,Kocaelispor
Ajman Club,Brigada Naranja,5 de noviembre de 1974 (49 años),Humaid bin Rashid,Goran Tufegdžić[1]​,Ajman Stadium,"Ajman,EAU",5537,Ajman,Yverdon Sport FC
Futbolʹnyĭ Klub Rubin Kazan,Kazantsyrubinyrubinovyye,20 de abril de 1958 (65 años),Ilsur Metshin,Leonid Slutski,Kazán Arena,"Kazán,Rusia",45.500 espectadores,Kazán,Red Bull Salzburg
Wydad Athletic Club,Wydad de la NaciónWydad de la ResistenciaEl EmperadorEl Decano,8 de mayo de 1937 (86 años),Said Naciri,Adil Ramzi,Estadio Mohammed V,"Casablanca,Marruecos",67 000,Casablanca,Ajman Club
Футбольный клуб «Спартак-2» Москва(Football Club Spartak-2 Moscow),No data,1964,Serguéi Rodiónov,Yevgueni Bushmánov,Spartak Moscow Cherenkov Academy Stadium,"Moscú,Rusia","3,077",Moscú,Rubin Kazan
Futebol Clube de Vizela,Vizelenses,1939,Eduardo Guimarães,Rubén de la Barrera,Estádio do Futebol Clube de Vizela,"Vizela,Portugal",6100,Vizela,Wydad Casablanca
Rosenborg Ballklub,Troillongan[1]​,19 de mayo de 1917 (106 años),Ivar Koteng,Alfred Johansson,Lerkendal Stadion,"Trondheim,Trøndelag,Noruega.",21.421 espectadores,Trondheim,Spartak Moscow
Club Sport Emelec,Bombillo[1]​Azules[2]​Eléctricos[3]​Millonarios[4]​Ballet Azul[5]​,28 de abril de 1929 (94 años),José Pileggi,Hernán Torres,George Capwell,"San Martín y Av. Quito,Guayaquil,Ecuador",39 059 espectadores[6]​,San Martín y Av. Quito,FC Vizela
Shanghái Shenhua上海申花足球俱乐部,No data,11 de diciembre de 1993 (30 años),Gu Jiqing,Leonid Slutsky,Estadio Hongkou,"Shanghái,China",35.000,Shanghái,Rosenborg BK
Fatih Karagümrük Spor Kulubu,CertoneKara Kırmızı,1926,Suleyman Hurma,Shota Arveladze,Vefa Stadium,"Istanbul,Turquía","12,500",Istanbul,CS Emelec
Kawasaki Frontale,FrontaleGrêmiode Japón,1955 (69 años) comoFujitsu F.C.,Yoshihiro Warashina,Toru Oniki,Estadio Kawasaki Todoroki,"Kawasaki,Kanagawa,Japón",26.827 espectadores,Kawasaki,Shanghai Shenhua
