Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Colorado Rapids,PidsRapids,6 de junio de 1995 (28 años),Stan Kroenke,Chris Armas,DSG Park,"Commerce City,Colorado,Estados Unidos",33.680,Commerce City,Colorado Rapids
Aalborg Boldspilklub,AaB,13 de mayo de 1885 (138 años),Allan Gaarde,Martí Cifuentes,Aalborg Arena Park,"Aalborg,Dinamarca",16.000,Aalborg,RB Bragantino U20
Fotballklubben Bodø/Glimt,GlimtSuperlagetDen Gule Horde (La Horda Amarilla),19 de septiembre de 1916 (107 años),Bjørn-Tore Hansen,Kjetil Knutsen,Aspmyra Stadion,"Bodø,Noruega",8.200,Bodø,Aalborg BK
No data,No data,No data,No data,No data,No data,No data,No data,No data,FK Bodø/Glimt
Football Club Kolos Kovalivka,No data,2012,Andriy Zasukha,Yaroslav Vyshnyak,Estadio Kolos,"Kovalivka,Ucrania",1850,Kovalivka,AA Argentinos Juniors
Club de Regatas Vasco da Gama,Camisas Negras[1]​Gigante da Colina[2]​[3]​Time da Virada[4]​Trem-bala da Colina[5]​,21 de agosto de 1898 (125 años) (Club de Remo)26 de noviembre de 1915 (108 años) (Club de Fútbol),Pedrinho[7]​,Ramón Díaz[9]​,São Januário,"Río de Janeiro,Brasil",21 880 espectadores[10]​,Río de Janeiro,Kolos Kovalivka
Nottingham Forest Football Club,Tricky Trees(Árboles Astutos)The Reds(Los Rojos)Forest(El Bosque),1865 (159 años)[1]​,Nicholas Randall,Nuno Espírito Santo,City Ground,"Nottingham,Reino Unido(Coord.52°56′24″N1°07′58″O﻿ / ﻿52.94,-1.132778)",30 500 espectadores,Nottingham,Clube de Regatas Vasco da Gama
Wuhan Three Towns Football Club武汉三镇足球俱乐部,No data,20 de abril de 2016 (7 años),Wang Fang,Ricardo Rodríguez,Hankou Cultural Sports Centre,"Wuhan,Hubei,China",20.000,Wuhan,Nottingham Forest
Mamelodi Sundowns Football Club,The BraziliansBafana ba StyleKabo YellowDowns,1970 (54 años),Patrice Motsepe,Rulani Mokwena,Estadio Loftus Versfeld,"Pretoria,Sudáfrica",51 762,Pretoria,Wuhan Three Towns
Fotballklubben Bodø/Glimt,GlimtSuperlagetDen Gule Horde (La Horda Amarilla),19 de septiembre de 1916 (107 años),Bjørn-Tore Hansen,Kjetil Knutsen,Aspmyra Stadion,"Bodø,Noruega",8.200,Bodø,Mamelodi Sundowns FC
Club de Fútbol Monterrey Rayados A. C.[1]​,Rayados[2]​AlbiazulesLa Pandilla,28 de junio de 1945 (78 años),José Antonio Noriega,Fernando Ortiz,BBVA,"Av. Pablo Livas 2011, La PastoraGuadalupe(México)",53 500 espectadores,Av. Pablo Livas 2011,FK Bodø/Glimt
V-Varen Nagasaki,VVN,1985 (39 años) comoAriake SC2004 (20 años) comoV-Varen Nagasaki,Tadatoshi Komine,Fábio Carille,Transcosmos Stadium Nagasaki,"Isahaya,Nagasaki",20.258 espectadores,Isahaya,CF Monterrey
Atlanta United Football Club,Las Cinco Rayas(The Five Stripes),16 de diciembre de 2014 (9 años),Santy Flores,Gonzalo Pineda,Mercedes-Benz Stadium,"Atlanta,Georgia,Estados Unidos",71 .000,Atlanta,V-Varen Nagasaki
