tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
458047,Rodrigo Fernández,Defensive Midfield,https://www.transfermarkt.com/rodrigo-fernandez/profil/spieler/458047,28,Uruguay,Santos FC,Série B,Brazil,CA Newell's Old Boys,Liga Profesional,Argentina,"Jan 18, 2024",€1.10m
337627,Gastón Gómez,Goalkeeper,https://www.transfermarkt.com/gaston-gomez/profil/spieler/337627,27,Argentina,Racing Club,Liga Profesional,Argentina,CA San Lorenzo de Almagro,Liga Profesional,Argentina,"Jan 18, 2024",€1.20m
907834,Gonzalo Ríos,Attacking Midfield,https://www.transfermarkt.com/gonzalo-rios/profil/spieler/907834,24,Argentina,Deportivo Armenio,No league,Argentina,Audax Italiano,Primera División,Chile,"Jan 18, 2024",€900k
415482,Fedi Ben Choug,Attacking Midfield,https://www.transfermarkt.com/fedi-ben-choug/profil/spieler/415482,28,Tunisia,Hassania d'Agadir,Botola Pro Inwi,Morocco,Without ClubWithout Club,No league,No country,"Jan 18, 2024",€600k
354840,Dominique Badji,Centre-Forward,https://www.transfermarkt.com/dominique-badji/profil/spieler/354840,31,Senegal,FC Cincinnati,MLS,United States,Bandirmaspor,1.Lig,Turkey,"Jan 18, 2024",€600k
1056993,Estêvão,Right Winger,https://www.transfermarkt.com/estevao/profil/spieler/1056993,16,Brazil,SE Palmeiras São Paulo U20,No league,Brazil,Sociedade Esportiva Palmeiras,Série A,Brazil,"Jan 18, 2024",€10.00m
310631,Hancel Batalla,Right Winger,https://www.transfermarkt.com/hancel-batalla/profil/spieler/310631,26,Ecuador,Cumbayá FC,Serie A Primera Etapa,Ecuador,SD Aucas,Serie A Primera Etapa,Ecuador,"Jan 18, 2024",€600k
613364,Tomás Fernández,Right Winger,https://www.transfermarkt.com/tomas-fernandez/profil/spieler/613364,25,Argentina,CA Boca Juniors II,No league,Argentina,CA San Martín (San Juan),Primera Nacional,Argentina,"Jan 18, 2024",€900k
491547,Mateo Garavito,Left-Back,https://www.transfermarkt.com/mateo-garavito/profil/spieler/491547,23,Colombia,Independiente Santa Fe,Liga Dimayor I,Colombia,Rionegro Águilas,Liga Dimayor I,Colombia,"Jan 18, 2024",€500k
577258,Agustín Álvarez,Central Midfield,https://www.transfermarkt.com/agustin-alvarez/profil/spieler/577258,22,Uruguay,Montevideo City Torque,No league,Uruguay,Atlético Nacional,Liga Dimayor I,Colombia,"Jan 18, 2024",€700k
430761,Lucas Fernandes,Attacking Midfield,https://www.transfermarkt.com/lucas-fernandes/profil/spieler/430761,26,Brazil,Portimonense SC,Liga Portugal,Portugal,Cuiabá Esporte Clube (MT),Série A,Brazil,"Jan 18, 2024",€2.00m
688896,Echaporã,Left Winger,https://www.transfermarkt.com/echapora/profil/spieler/688896,23,Brazil,Clube Atlético Mineiro,Série A,Brazil,Clube do Remo (PA),No league,Brazil,"Jan 18, 2024",€800k
264848,Rúben Lameiras,Right Winger,https://www.transfermarkt.com/ruben-lameiras/profil/spieler/264848,29,Portugal,GD Chaves,Liga Portugal,Portugal,Casa Pia AC,Liga Portugal,Portugal,"Jan 18, 2024",€500k
707060,Dominique Mendy,Defensive Midfield,https://www.transfermarkt.com/dominique-mendy/profil/spieler/707060,24,Senegal,Stade Tunisien,Ligue I Pro,Tunisia,Al-Najaf FC,No league,Iraq,"Jan 18, 2024",€500k
466350,Zied Aloui,Centre-Forward,https://www.transfermarkt.com/zied-aloui/profil/spieler/466350,29,Tunisia,US Monastir,Ligue I Pro,Tunisia,Al-Nasr Benghazi,No league,Libya,"Jan 18, 2024",€500k
511552,Ryan Astley,Centre-Back,https://www.transfermarkt.com/ryan-astley/profil/spieler/511552,22,Wales,Everton FC U21,Premier League 2,England,Dundee FC,Premiership,Scotland,"Jan 18, 2024",€600k
727751,Caio Alexandre,Central Midfield,https://www.transfermarkt.com/caio-alexandre/profil/spieler/727751,24,Brazil,Fortaleza Esporte Clube,Série A,Brazil,Esporte Clube Bahia,Série A,Brazil,"Jan 18, 2024",€5.00m
20506,Andrés Guardado,Central Midfield,https://www.transfermarkt.com/andres-guardado/profil/spieler/20506,37,Mexico,Real Betis Balompié,LaLiga,Spain,Club León FC,Liga MX Apertura,Mexico,"Jan 18, 2024",€1.50m
61651,Jordan Henderson,Central Midfield,https://www.transfermarkt.com/jordan-henderson/profil/spieler/61651,33,England,Al-Ettifaq FC,Saudi Pro League,Saudi Arabia,Ajax Amsterdam,Eredivisie,Netherlands,"Jan 18, 2024",€7.50m
371142,Myziane Maolida,Left Winger,https://www.transfermarkt.com/myziane-maolida/profil/spieler/371142,24,Comoros,Hertha BSC,2. Bundesliga,Germany,Hibernian FC,Premiership,Scotland,"Jan 18, 2024",€700k
332527,Sveinn-Aron Gudjohnsen,Centre-Forward,https://www.transfermarkt.com/sveinn-aron-gudjohnsen/profil/spieler/332527,25,Iceland,IF Elfsborg,Allsvenskan,Sweden,FC Hansa Rostock,2. Bundesliga,Germany,"Jan 18, 2024",€800k
682032,Marley Aké,Left Winger,https://www.transfermarkt.com/marley-ake/profil/spieler/682032,23,France,Juventus FC,Serie A,Italy,Yverdon Sport FC,Super League,Switzerland,"Jan 18, 2024",€1.60m
465082,Georgi Nikolov,Centre-Forward,https://www.transfermarkt.com/georgi-nikolov/profil/spieler/465082,21,Bulgaria,Hebar Pazardzhik,efbet Liga,Bulgaria,Botev Plovdiv,efbet Liga,Bulgaria,"Jan 18, 2024",€500k
458405,Radinio Balker,Centre-Back,https://www.transfermarkt.com/radinio-balker/profil/spieler/458405,25,Netherlands,FC Groningen,Keuken Kampioen Divisie,Netherlands,Huddersfield Town,Championship,England,"Jan 18, 2024",€900k
321135,Ibrahim Dresevic,Centre-Back,https://www.transfermarkt.com/ibrahim-dresevic/profil/spieler/321135,27,Kosovo,Fatih Karagümrük,Süper Lig,Turkey,Machida Zelvia,J1 League,Japan,"Jan 18, 2024",€1.90m
315332,Aymen Barkok,Attacking Midfield,https://www.transfermarkt.com/aymen-barkok/profil/spieler/315332,25,Morocco,1.FSV Mainz 05,Bundesliga,Germany,Hertha BSC,2. Bundesliga,Germany,"Jan 18, 2024",€2.00m
1018259,Gift Orban,Centre-Forward,https://www.transfermarkt.com/gift-orban/profil/spieler/1018259,21,Nigeria,KAA Gent,Jupiler Pro League,Belgium,Olympique Lyon,Ligue 1,France,"Jan 18, 2024",€15.00m
300308,Leandro Garate,Centre-Forward,https://www.transfermarkt.com/leandro-garate/profil/spieler/300308,30,Argentina,Unión Española,Primera División,Chile,CA Huracán,Liga Profesional,Argentina,"Jan 18, 2024",€1.20m
263605,Romario Ibarra,Left Winger,https://www.transfermarkt.com/romario-ibarra/profil/spieler/263605,29,Ecuador,CF Pachuca,Liga MX Apertura,Mexico,Independiente del Valle,Serie A Primera Etapa,Ecuador,"Jan 18, 2024",€1.80m
983109,Gabriel Silva,Attacking Midfield,https://www.transfermarkt.com/gabriel-silva/profil/spieler/983109,21,Brazil,Grêmio Foot-Ball Porto Alegrense,Série A,Brazil,AA Internacional de Limeira,Paulistão A1 - Primeira Fase,Brazil,"Jan 18, 2024",€1.00m
443717,Segundo Portocarrero,Left-Back,https://www.transfermarkt.com/segundo-portocarrero/profil/spieler/443717,27,Ecuador,Barcelona SC Guayaquil,Serie A Primera Etapa,Ecuador,Universitario de Deportes,Liga 1 Apertura,Peru,"Jan 18, 2024",€500k
910905,Mamadou Sarr,Centre-Back,https://www.transfermarkt.com/mamadou-sarr/profil/spieler/910905,18,France,Olympique Lyon,Ligue 1,France,RWD Molenbeek,Jupiler Pro League,Belgium,"Jan 18, 2024",€1.00m
830112,Ramiro Sordo,Left Winger,https://www.transfermarkt.com/ramiro-sordo/profil/spieler/830112,23,Argentina,CA Newell's Old Boys,Liga Profesional,Argentina,Santos Laguna,Liga MX Apertura,Mexico,"Jan 18, 2024",€2.50m
294791,Chris Bedia,Centre-Forward,https://www.transfermarkt.com/chris-bedia/profil/spieler/294791,27,Cote d'Ivoire,Servette FC,Super League,Switzerland,1.FC Union Berlin,Bundesliga,Germany,"Jan 18, 2024",€3.00m
390125,Lefteris Lyratzis,Right-Back,https://www.transfermarkt.com/lefteris-lyratzis/profil/spieler/390125,23,Greece,PAOK Thessaloniki,Super League 1,Greece,Asteras Tripolis,Super League 1,Greece,"Jan 18, 2024",€1.50m
812625,Agustín Álvarez,Centre-Forward,https://www.transfermarkt.com/agustin-alvarez/profil/spieler/812625,22,Uruguay,US Sassuolo,Serie A,Italy,UC Sampdoria,Serie B,Italy,"Jan 18, 2024",€8.00m
346478,Japhet Tanganga,Centre-Back,https://www.transfermarkt.com/japhet-tanganga/profil/spieler/346478,24,England,Tottenham Hotspur,Premier League,England,Millwall FC,Championship,England,"Jan 18, 2024",€3.00m
379209,Deian Sorescu,Right Winger,https://www.transfermarkt.com/deian-sorescu/profil/spieler/379209,26,Romania,Rakow Czestochowa,Ekstraklasa,Poland,Gaziantep FK,Süper Lig,Turkey,"Jan 18, 2024",€1.20m
250907,Jemal Tabidze,Centre-Back,https://www.transfermarkt.com/jemal-tabidze/profil/spieler/250907,27,Georgia,Without ClubWithout Club,No league,No country,Panetolikos GFS,Super League 1,Greece,"Jan 18, 2024",€600k
396640,Eden Karzev,Defensive Midfield,https://www.transfermarkt.com/eden-karzev/profil/spieler/396640,23,Israel,Basaksehir FK,Süper Lig,Turkey,Maccabi Tel Aviv,Ligat ha'Al,Israel,"Jan 18, 2024",€2.30m
