tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
379082,Jorge Padilla,Right-Back,https://www.transfermarkt.com/jorge-padilla/profil/spieler/379082,30,Mexico,Mazatlán FC,Liga MX Apertura,Mexico,CD Leones Negros de la UdeG,Liga Expansión MX Cl.,Mexico,"Jan 19, 2024",€800k
126239,Christian Ortíz,Left Winger,https://www.transfermarkt.com/christian-ortiz/profil/spieler/126239,31,Argentina,Club Tijuana,Liga MX Apertura,Mexico,CA San Lorenzo de Almagro,Liga Profesional,Argentina,"Jan 19, 2024",€700k
117549,Rodri Ríos,Centre-Forward,https://www.transfermarkt.com/rodri-rios/profil/spieler/117549,33,Spain,Real Murcia CF,Primera Federación - Gr. II,Spain,AD Ceuta FC,Primera Federación - Gr. II,Spain,"Jan 19, 2024",€500k
466121,Nikola Terzic,Right Winger,https://www.transfermarkt.com/nikola-terzic/profil/spieler/466121,23,Serbia,Hapoel Umm al-Fahm,Liga Leumit,Israel,FK IMT Belgrad,Super liga Srbije,Serbia,"Jan 19, 2024",€500k
705970,Stefan Tomovic,Attacking Midfield,https://www.transfermarkt.com/stefan-tomovic/profil/spieler/705970,22,Serbia,FK Cukaricki,Super liga Srbije,Serbia,FK Spartak Subotica,Super liga Srbije,Serbia,"Jan 19, 2024",€600k
621793,Fabricio Domínguez,Central Midfield,https://www.transfermarkt.com/fabricio-dominguez/profil/spieler/621793,25,Uruguay,Racing Club,Liga Profesional,Argentina,Sport Club do Recife,Série B,Brazil,"Jan 19, 2024",€600k
690479,Stefan Vukic,Centre-Forward,https://www.transfermarkt.com/stefan-vukic/profil/spieler/690479,28,Serbia,FK Vojvodina Novi Sad,Super liga Srbije,Serbia,FK Radnicki Nis,Super liga Srbije,Serbia,"Jan 19, 2024",€1.30m
941418,Denil Castillo,Defensive Midfield,https://www.transfermarkt.com/denil-castillo/profil/spieler/941418,19,Ecuador,Shakhtar Donetsk,Premier Liga,Ukraine,FK Partizan Belgrade,Super liga Srbije,Serbia,"Jan 19, 2024",€500k
167316,Djordje Despotovic,Centre-Forward,https://www.transfermarkt.com/djordje-despotovic/profil/spieler/167316,31,Serbia,Without ClubWithout Club,No league,No country,Buducnost Podgorica,Meridianbet 1. CFL,Montenegro,"Jan 19, 2024",€500k
569955,Peter Michael,Centre-Forward,https://www.transfermarkt.com/peter-michael/profil/spieler/569955,25,Nigeria,Vaasan Palloseura,Veikkausliiga,Finland,CFR Cluj,SuperLiga,Romania,"Jan 19, 2024",€500k
614464,Nikita Iosifov,Left Winger,https://www.transfermarkt.com/nikita-iosifov/profil/spieler/614464,22,Russia,CD Mirandés,LaLiga2,Spain,CD Castellón,Primera Federación - Gr. II,Spain,"Jan 19, 2024",€600k
456617,Marcelino Moreno,Attacking Midfield,https://www.transfermarkt.com/marcelino-moreno/profil/spieler/456617,28,Argentina,Coritiba Foot Ball Club,Série B,Brazil,Club Atlético Lanús,Liga Profesional,Argentina,"Jan 19, 2024",€4.00m
334233,Walter Bou,Centre-Forward,https://www.transfermarkt.com/walter-bou/profil/spieler/334233,30,Argentina,CA Vélez Sarsfield,Liga Profesional,Argentina,Club Atlético Lanús,Liga Profesional,Argentina,"Jan 19, 2024",€1.50m
483008,Andrej Djokanovic,Defensive Midfield,https://www.transfermarkt.com/andrej-djokanovic/profil/spieler/483008,22,Bosnia-Herzegovina,MKE Ankaragücü,Süper Lig,Turkey,Manisa FK,1.Lig,Turkey,"Jan 19, 2024",€1.50m
233998,Freddie Ladapo,Centre-Forward,https://www.transfermarkt.com/freddie-ladapo/profil/spieler/233998,30,England,Ipswich Town,Championship,England,Charlton Athletic,League One,England,"Jan 19, 2024",€500k
134158,Georgi Milanov,Central Midfield,https://www.transfermarkt.com/georgi-milanov/profil/spieler/134158,31,Bulgaria,Without ClubWithout Club,No league,No country,FC Dinamo Bucharest,SuperLiga,Romania,"Jan 19, 2024",€700k
402079,Ignacio Ramírez,Centre-Forward,https://www.transfermarkt.com/ignacio-ramirez/profil/spieler/402079,26,Uruguay,Club Nacional,Primera División Apertura,Uruguay,CA Newell's Old Boys,Liga Profesional,Argentina,"Jan 19, 2024",€1.80m
565821,Mika Biereth,Centre-Forward,https://www.transfermarkt.com/mika-biereth/profil/spieler/565821,20,Denmark,Arsenal FC U21,Premier League 2,England,SK Sturm Graz,Bundesliga,Austria,"Jan 19, 2024",€650k
208166,Bartlomiej Dragowski,Goalkeeper,https://www.transfermarkt.com/bartlomiej-dragowski/profil/spieler/208166,26,Poland,Spezia Calcio,Serie B,Italy,Panathinaikos FC,Super League 1,Greece,"Jan 19, 2024",€2.40m
250055,Christofer Gonzales,Attacking Midfield,https://www.transfermarkt.com/christofer-gonzales/profil/spieler/250055,31,Peru,Al-Adalah FC,Saudi First Division League,Saudi Arabia,Universitario de Deportes,Liga 1 Apertura,Peru,"Jan 19, 2024",€600k
587003,Lewis Bate,Central Midfield,https://www.transfermarkt.com/lewis-bate/profil/spieler/587003,21,England,Leeds United U21,Premier League 2,England,Milton Keynes Dons,League Two,England,"Jan 19, 2024",€1.00m
689893,Rarmani Edmonds-Green,Centre-Back,https://www.transfermarkt.com/rarmani-edmonds-green/profil/spieler/689893,25,England,Huddersfield Town,Championship,England,Charlton Athletic,League One,England,"Jan 19, 2024",€500k
796574,Stênio,Right Winger,https://www.transfermarkt.com/stenio/profil/spieler/796574,20,Brazil,Cruzeiro Esporte Clube,Série A,Brazil,Avs Futebol SAD,Liga Sabseg,Portugal,"Jan 19, 2024",€1.00m
358032,Cyril Ngonge,Right Winger,https://www.transfermarkt.com/cyril-ngonge/profil/spieler/358032,23,Belgium,Hellas Verona,Serie A,Italy,SSC Napoli,Serie A,Italy,"Jan 19, 2024",€6.00m
346467,Andre Dozzell,Central Midfield,https://www.transfermarkt.com/andre-dozzell/profil/spieler/346467,24,England,Queens Park Rangers,Championship,England,Birmingham City,Championship,England,"Jan 19, 2024",€1.20m
238185,Rhys Healey,Centre-Forward,https://www.transfermarkt.com/rhys-healey/profil/spieler/238185,29,England,Watford FC,Championship,England,Huddersfield Town,Championship,England,"Jan 19, 2024",€1.50m
610863,Filip Marschall,Goalkeeper,https://www.transfermarkt.com/filip-marschall/profil/spieler/610863,20,Poland,Aston Villa,Premier League,England,Milton Keynes Dons,League Two,England,"Jan 19, 2024",€800k
374954,Kristijan Jakic,Defensive Midfield,https://www.transfermarkt.com/kristijan-jakic/profil/spieler/374954,26,Croatia,Eintracht Frankfurt,Bundesliga,Germany,FC Augsburg,Bundesliga,Germany,"Jan 19, 2024",€5.50m
616948,Péter Baráth,Central Midfield,https://www.transfermarkt.com/peter-barath/profil/spieler/616948,21,Hungary,Ferencvárosi TC,NB I.,Hungary,Rakow Czestochowa,Ekstraklasa,Poland,"Jan 19, 2024",€900k
661126,Rocco Ríos Novo,Goalkeeper,https://www.transfermarkt.com/rocco-rios-novo/profil/spieler/661126,21,Argentina,Club Atlético Lanús II,No league,Argentina,Phoenix Rising FC,USLC,United States,"Jan 19, 2024",€500k
785967,Ibrahima Kébé,Defensive Midfield,https://www.transfermarkt.com/ibrahima-kebe/profil/spieler/785967,23,Mali,Girona FC,LaLiga,Spain,CD Mirandés,LaLiga2,Spain,"Jan 19, 2024",€500k
350759,Luka Juricic,Centre-Forward,https://www.transfermarkt.com/luka-juricic/profil/spieler/350759,27,Bosnia-Herzegovina,CFR Cluj,SuperLiga,Romania,FC Pyunik Yerevan,Bardzraguyn khumb,Armenia,"Jan 19, 2024",€500k
225122,Gonçalo Guedes,Left Winger,https://www.transfermarkt.com/goncalo-guedes/profil/spieler/225122,27,Portugal,Wolverhampton Wanderers,Premier League,England,Villarreal CF,LaLiga,Spain,"Jan 19, 2024",€18.00m
502671,Anzor Mekvabishvili,Defensive Midfield,https://www.transfermarkt.com/anzor-mekvabishvili/profil/spieler/502671,22,Georgia,Dinamo Tbilisi,Erovnuli Liga,Georgia,CS Universitatea Craiova,SuperLiga,Romania,"Jan 19, 2024",€1.00m
920470,Tochukwu Nnadi,Defensive Midfield,https://www.transfermarkt.com/tochukwu-nnadi/profil/spieler/920470,20,Nigeria,Botev Plovdiv,efbet Liga,Bulgaria,SV Zulte Waregem,Challenger Pro League,Belgium,"Jan 19, 2024",€900k
208690,George Pușcaș,Centre-Forward,https://www.transfermarkt.com/george-puscas/profil/spieler/208690,27,Romania,Genoa CFC,Serie A,Italy,SSC Bari,Serie B,Italy,"Jan 19, 2024",€2.00m
42460,Ivan Perisic,Left Midfield,https://www.transfermarkt.com/ivan-perisic/profil/spieler/42460,34,Croatia,Tottenham Hotspur,Premier League,England,HNK Hajduk Split,SuperSport HNL,Croatia,"Jan 19, 2024",€4.00m
197751,Alberto Cerri,Centre-Forward,https://www.transfermarkt.com/alberto-cerri/profil/spieler/197751,27,Italy,Como 1907,Serie B,Italy,FC Empoli,Serie A,Italy,"Jan 19, 2024",€1.70m
461963,Celton Biai,Goalkeeper,https://www.transfermarkt.com/celton-biai/profil/spieler/461963,23,Guinea-Bissau,Vitória Guimarães SC,Liga Portugal,Portugal,FC Dordrecht,Keuken Kampioen Divisie,Netherlands,"Jan 19, 2024",€1.00m
556046,Sebastián Lomónaco,Centre-Forward,https://www.transfermarkt.com/sebastian-lomonaco/profil/spieler/556046,25,Argentina,CD Godoy Cruz Antonio Tomba,Liga Profesional,Argentina,Panetolikos GFS,Super League 1,Greece,"Jan 19, 2024",€1.50m
324861,Julian Justvan,Attacking Midfield,https://www.transfermarkt.com/julian-justvan/profil/spieler/324861,25,Germany,TSG 1899 Hoffenheim,Bundesliga,Germany,SV Darmstadt 98,Bundesliga,Germany,"Jan 19, 2024",€1.20m
925584,Axel Guessand,Centre-Back,https://www.transfermarkt.com/axel-guessand/profil/spieler/925584,19,France,Udinese Calcio,Serie A,Italy,FC Volendam,Eredivisie,Netherlands,"Jan 19, 2024",€500k
121257,Adam Forshaw,Central Midfield,https://www.transfermarkt.com/adam-forshaw/profil/spieler/121257,32,England,Norwich City,Championship,England,Plymouth Argyle,Championship,England,"Jan 19, 2024",€600k
519868,Ali Loune,Defensive Midfield,https://www.transfermarkt.com/ali-loune/profil/spieler/519868,21,Morocco,1.FC Nuremberg,2. Bundesliga,Germany,SK Austria Klagenfurt,Bundesliga,Austria,"Jan 19, 2024",€500k
900195,Kevin,Left Winger,https://www.transfermarkt.com/kevin/profil/spieler/900195,21,Brazil,Sociedade Esportiva Palmeiras,Série A,Brazil,Shakhtar Donetsk,Premier Liga,Ukraine,"Jan 19, 2024",€4.00m
357917,Justin Lonwijk,Central Midfield,https://www.transfermarkt.com/justin-lonwijk/profil/spieler/357917,24,Netherlands,Dynamo Kyiv,Premier Liga,Ukraine,Fortuna Sittard,Eredivisie,Netherlands,"Jan 19, 2024",€800k
750903,Jaouen Hadjam,Left-Back,https://www.transfermarkt.com/jaouen-hadjam/profil/spieler/750903,20,Algeria,FC Nantes,Ligue 1,France,BSC Young Boys,Super League,Switzerland,"Jan 19, 2024",€1.50m
412091,Kapit Djoco,Centre-Forward,https://www.transfermarkt.com/kapit-djoco/profil/spieler/412091,28,France,SC Bastia,Ligue 2,France,FC Annecy,Ligue 2,France,"Jan 19, 2024",€600k
508376,Soon-min Lee,Central Midfield,https://www.transfermarkt.com/soon-min-lee/profil/spieler/508376,29,"Korea, South",Gwangju FC,K League 1,"Korea, South",Daejeon Hana Citizen,K League 1,"Korea, South","Jan 19, 2024",€600k
511436,Matías Sepúlveda,Central Midfield,https://www.transfermarkt.com/matias-sepulveda/profil/spieler/511436,24,Chile,Audax Italiano,Primera División,Chile,Club Universidad de Chile,Primera División,Chile,"Jan 19, 2024",€800k
164013,Gilberto,Centre-Forward,https://www.transfermarkt.com/gilberto/profil/spieler/164013,34,Brazil,Cruzeiro Esporte Clube,Série A,Brazil,Esporte Clube Juventude,Série A,Brazil,"Jan 19, 2024",€500k
302898,Milad Sarlak,Defensive Midfield,https://www.transfermarkt.com/milad-sarlak/profil/spieler/302898,28,Iran,Persepolis FC,Persian Gulf Pro League,Iran,Malavan of Bandar Anzali,Persian Gulf Pro League,Iran,"Jan 19, 2024",€800k
576026,Santiago Sosa,Defensive Midfield,https://www.transfermarkt.com/santiago-sosa/profil/spieler/576026,24,Argentina,Atlanta United FC,MLS,United States,Racing Club,Liga Profesional,Argentina,"Jan 19, 2024",€4.00m
698542,Mihajlo Petkovic,Attacking Midfield,https://www.transfermarkt.com/mihajlo-petkovic/profil/spieler/698542,19,Serbia,FK Partizan Belgrade,Super liga Srbije,Serbia,FK Novi Pazar,Super liga Srbije,Serbia,"Jan 19, 2024",€500k
405868,Milos Krunic,Goalkeeper,https://www.transfermarkt.com/milos-krunic/profil/spieler/405868,27,Serbia,Without ClubWithout Club,No league,No country,FK Partizan Belgrade,Super liga Srbije,Serbia,"Jan 19, 2024",€800k
854804,Nikola Milicic,Centre-Back,https://www.transfermarkt.com/nikola-milicic/profil/spieler/854804,19,Serbia,FK Radnicki 1923 Kragujevac,Super liga Srbije,Serbia,FK Partizan Belgrade,Super liga Srbije,Serbia,"Jan 19, 2024",€750k
376588,Njegos Petrovic,Defensive Midfield,https://www.transfermarkt.com/njegos-petrovic/profil/spieler/376588,24,Serbia,Granada CF,LaLiga,Spain,FK Vojvodina Novi Sad,Super liga Srbije,Serbia,"Jan 19, 2024",€2.00m
505652,Slobodan Tedic,Centre-Forward,https://www.transfermarkt.com/slobodan-tedic/profil/spieler/505652,23,Serbia,Manchester City,Premier League,England,FK Cukaricki,Super liga Srbije,Serbia,"Jan 19, 2024",€500k
696363,Vladimir Miletic,Defensive Midfield,https://www.transfermarkt.com/vladimir-miletic/profil/spieler/696363,20,Serbia,FK Vojvodina Novi Sad,Super liga Srbije,Serbia,FK Vozdovac,Super liga Srbije,Serbia,"Jan 19, 2024",€500k
845872,Milos Lukovic,Centre-Forward,https://www.transfermarkt.com/milos-lukovic/profil/spieler/845872,18,Serbia,RC Strasbourg Alsace,Ligue 1,France,FK IMT Belgrad,Super liga Srbije,Serbia,"Jan 19, 2024",€5.00m
374055,Dragan Rosic,Goalkeeper,https://www.transfermarkt.com/dragan-rosic/profil/spieler/374055,27,Serbia,FK Radnicki Nis,Super liga Srbije,Serbia,FK Vojvodina Novi Sad,Super liga Srbije,Serbia,"Jan 19, 2024",€650k
274340,Andrija Majdevac,Centre-Forward,https://www.transfermarkt.com/andrija-majdevac/profil/spieler/274340,26,Serbia,Debreceni VSC,NB I.,Hungary,FK Napredak Krusevac,Super liga Srbije,Serbia,"Jan 19, 2024",€800k
334056,Néstor Breitenbruch,Right-Back,https://www.transfermarkt.com/nestor-breitenbruch/profil/spieler/334056,28,Argentina,CD Godoy Cruz Antonio Tomba,Liga Profesional,Argentina,Club Atlético Tucumán,Liga Profesional,Argentina,"Jan 19, 2024",€500k
440827,Nemanja Milojevic,Attacking Midfield,https://www.transfermarkt.com/nemanja-milojevic/profil/spieler/440827,25,Greece,FK Novi Pazar,Super liga Srbije,Serbia,FK Cukaricki,Super liga Srbije,Serbia,"Jan 19, 2024",€800k
288531,Stefan Marjanovic,Centre-Back,https://www.transfermarkt.com/stefan-marjanovic/profil/spieler/288531,29,Serbia,FK Kolubara Lazarevac,Prva liga Srbije,Serbia,FK Javor-Matis Ivanjica,Super liga Srbije,Serbia,"Jan 19, 2024",€500k
297370,Christos Gravius,Central Midfield,https://www.transfermarkt.com/christos-gravius/profil/spieler/297370,26,Sweden,Degerfors IF,Superettan,Sweden,Athens Kallithea,Super League 2,Greece,"Jan 19, 2024",€750k
