tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
743668,Thor Úlfarsson,Centre-Forward,https://www.transfermarkt.com/thor-ulfarsson/profil/spieler/743668,23,Iceland,Houston Dynamo FC,MLS,United States,Debreceni VSC,NB I.,Hungary,"Jan 21, 2024",€1.50m
739996,Matías Esquivel,Central Midfield,https://www.transfermarkt.com/matias-esquivel/profil/spieler/739996,24,Argentina,Club Atlético Lanús,Liga Profesional,Argentina,Mamelodi Sundowns FC,DStv Premiership,South Africa,"Jan 21, 2024",€2.20m
727934,Cristhian Solano,Left Winger,https://www.transfermarkt.com/cristhian-solano/profil/spieler/727934,24,Ecuador,Orense SC,Serie A Primera Etapa,Ecuador,Barcelona SC Guayaquil,Serie A Primera Etapa,Ecuador,"Jan 21, 2024",€600k
557614,Nathanaël Mbuku,Left Winger,https://www.transfermarkt.com/nathanael-mbuku/profil/spieler/557614,21,France,FC Augsburg,Bundesliga,Germany,AS Saint-Étienne,Ligue 2,France,"Jan 21, 2024",€1.50m
12249,Éver Banega,Central Midfield,https://www.transfermarkt.com/ever-banega/profil/spieler/12249,35,Argentina,Al-Shabab FC,Saudi Pro League,Saudi Arabia,CA Newell's Old Boys,Liga Profesional,Argentina,"Jan 21, 2024",€1.50m
554565,Ivan Dolcek,Left Winger,https://www.transfermarkt.com/ivan-dolcek/profil/spieler/554565,23,Croatia,HNK Hajduk Split,SuperSport HNL,Croatia,DAC Dunajska Streda,Nike Liga,Slovakia,"Jan 21, 2024",€500k
318507,Paul Bernardoni,Goalkeeper,https://www.transfermarkt.com/paul-bernardoni/profil/spieler/318507,26,France,Konyaspor,Süper Lig,Turkey,Yverdon Sport FC,Super League,Switzerland,"Jan 21, 2024",€2.20m
162029,Javier Manquillo,Right-Back,https://www.transfermarkt.com/javier-manquillo/profil/spieler/162029,29,Spain,Newcastle United,Premier League,England,Celta de Vigo,LaLiga,Spain,"Jan 21, 2024",€2.00m
263380,Attila Szalai,Centre-Back,https://www.transfermarkt.com/attila-szalai/profil/spieler/263380,26,Hungary,TSG 1899 Hoffenheim,Bundesliga,Germany,SC Freiburg,Bundesliga,Germany,"Jan 21, 2024",€10.00m
190289,Gerrit Holtmann,Left Winger,https://www.transfermarkt.com/gerrit-holtmann/profil/spieler/190289,28,Philippines,VfL Bochum,Bundesliga,Germany,SV Darmstadt 98,Bundesliga,Germany,"Jan 21, 2024",€2.00m
778476,Brayan Moreno,Centre-Forward,https://www.transfermarkt.com/brayan-moreno/profil/spieler/778476,24,Colombia,CSKA-Sofia,efbet Liga,Bulgaria,Neftchi Baku,Premyer Liqa,Azerbaijan,"Jan 21, 2024",€1.00m
