tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
737892,Renzo Orihuela,Centre-Back,https://www.transfermarkt.com/renzo-orihuela/profil/spieler/737892,22,Uruguay,Montevideo City Torque,No league,Uruguay,Bolívar La Paz,División Profesional Apertura,Bolivia,"Jan 22, 2024",€500k
282821,Corey Blackett-Taylor,Right Winger,https://www.transfermarkt.com/corey-blackett-taylor/profil/spieler/282821,26,England,Charlton Athletic,League One,England,Derby County,League One,England,"Jan 22, 2024",€500k
662493,Ryotaro Tsunoda,Centre-Back,https://www.transfermarkt.com/ryotaro-tsunoda/profil/spieler/662493,24,Japan,Yokohama F. Marinos,J1 League,Japan,Cardiff City,Championship,Wales,"Jan 22, 2024",€550k
238947,Elio Capradossi,Centre-Back,https://www.transfermarkt.com/elio-capradossi/profil/spieler/238947,27,Italy,Cagliari Calcio,Serie A,Italy,Without ClubWithout Club,No league,No country,"Jan 22, 2024",€500k
376710,Mauro Pittón,Defensive Midfield,https://www.transfermarkt.com/mauro-pitton/profil/spieler/376710,29,Argentina,CA Vélez Sarsfield,Liga Profesional,Argentina,Club Atlético Unión,Liga Profesional,Argentina,"Jan 22, 2024",€1.80m
848682,Kosta Nedeljkovic,Right-Back,https://www.transfermarkt.com/kosta-nedeljkovic/profil/spieler/848682,18,Serbia,Red Star Belgrade,Super liga Srbije,Serbia,Aston Villa,Premier League,England,"Jan 22, 2024",€2.50m
232964,Emiliano Marcondes,Attacking Midfield,https://www.transfermarkt.com/emiliano-marcondes/profil/spieler/232964,28,Denmark,AFC Bournemouth,Premier League,England,Hibernian FC,Premiership,Scotland,"Jan 22, 2024",€1.50m
216118,Eduardo Henrique,Defensive Midfield,https://www.transfermarkt.com/eduardo-henrique/profil/spieler/216118,28,Brazil,Sporting CP B,Liga 3,Portugal,Qingdao West Coast,Super League,China,"Jan 22, 2024",€1.00m
245194,Ayoub Boucheta,Left-Back,https://www.transfermarkt.com/ayoub-boucheta/profil/spieler/245194,30,Morocco,SC Chabab Mohammedia,Botola Pro Inwi,Morocco,Wydad Casablanca,Botola Pro Inwi,Morocco,"Jan 22, 2024",€650k
534625,Tomás Durso,Goalkeeper,https://www.transfermarkt.com/tomas-durso/profil/spieler/534625,24,Argentina,Club de Gimnasia y Esgrima La Plata,Liga Profesional,Argentina,Club Atlético Tucumán,Liga Profesional,Argentina,"Jan 22, 2024",€1.80m
