tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
428210,Samuel Sosa,Left Winger,https://www.transfermarkt.com/samuel-sosa/profil/spieler/428210,24,Venezuela,CA Talleres,Liga Profesional,Argentina,Querétaro FC,Liga MX Apertura,Mexico,"Jan 23, 2024",€650k
557938,Marwan Hamdi,Centre-Forward,https://www.transfermarkt.com/marwan-hamdi/profil/spieler/557938,27,Egypt,El Masry SC,Premier League,Egypt,Pyramids FC,Premier League,Egypt,"Jan 23, 2024",€600k
444208,Michael Obafemi,Centre-Forward,https://www.transfermarkt.com/michael-obafemi/profil/spieler/444208,23,Ireland,Burnley FC,Premier League,England,Millwall FC,Championship,England,"Jan 23, 2024",€3.50m
440688,Nicolás Servetto,Centre-Forward,https://www.transfermarkt.com/nicolas-servetto/profil/spieler/440688,27,Argentina,Club Almagro,Primera Nacional,Argentina,Club Atlético Tucumán,Liga Profesional,Argentina,"Jan 23, 2024",€800k
252209,Adrián Balboa,Centre-Forward,https://www.transfermarkt.com/adrian-balboa/profil/spieler/252209,30,Uruguay,Deportivo Pereira,Liga Dimayor I,Colombia,Club Atlético Unión,Liga Profesional,Argentina,"Jan 23, 2024",€750k
749605,Luke Haakenson,Left Winger,https://www.transfermarkt.com/luke-haakenson/profil/spieler/749605,26,United States,Nashville SC,MLS,United States,San Antonio FC,USLC,United States,"Jan 23, 2024",€800k
201248,Mickaël Tırpan,Right-Back,https://www.transfermarkt.com/mickael-tirpan/profil/spieler/201248,30,Turkey,Samsunspor,Süper Lig,Turkey,Without ClubWithout Club,No league,No country,"Jan 23, 2024",€650k
639422,Boubacar Traoré,Centre-Forward,https://www.transfermarkt.com/boubacar-traore/profil/spieler/639422,24,Mali,US Monastir,Ligue I Pro,Tunisia,Al-Ahli Benghazi,No league,Libya,"Jan 23, 2024",€1.40m
145838,Andy Nájar,Right-Back,https://www.transfermarkt.com/andy-najar/profil/spieler/145838,30,Honduras,D.C. United,MLS,United States,CD Olimpia,Liga Nacional Clausura,Honduras,"Jan 23, 2024",€500k
724529,Tayo Adaramola,Left-Back,https://www.transfermarkt.com/tayo-adaramola/profil/spieler/724529,20,Ireland,Crystal Palace U21,Premier League 2,England,RWD Molenbeek,Jupiler Pro League,Belgium,"Jan 23, 2024",€800k
725049,Roni,Defensive Midfield,https://www.transfermarkt.com/roni/profil/spieler/725049,24,Brazil,Sport Club Corinthians Paulista,Série A,Brazil,Atlético Clube Goianiense,Série A,Brazil,"Jan 23, 2024",€3.50m
104326,Victor Cuesta,Centre-Back,https://www.transfermarkt.com/victor-cuesta/profil/spieler/104326,35,Argentina,Botafogo de Futebol e Regatas,Série A,Brazil,Esporte Clube Bahia,Série A,Brazil,"Jan 23, 2024",€800k
169573,Sam Nicholson,Left Midfield,https://www.transfermarkt.com/sam-nicholson/profil/spieler/169573,29,Scotland,Colorado Rapids,MLS,United States,Motherwell FC,Premiership,Scotland,"Jan 23, 2024",€550k
816308,Panos Katseris,Left Midfield,https://www.transfermarkt.com/panos-katseris/profil/spieler/816308,22,Greece,US Catanzaro,Serie B,Italy,FC Lorient,Ligue 1,France,"Jan 23, 2024",€500k
747153,Daniel Gore,Central Midfield,https://www.transfermarkt.com/daniel-gore/profil/spieler/747153,19,England,Manchester United,Premier League,England,Port Vale FC,League One,England,"Jan 23, 2024",€900k
716276,Yerson Mosquera,Centre-Back,https://www.transfermarkt.com/yerson-mosquera/profil/spieler/716276,22,Colombia,Wolverhampton Wanderers,Premier League,England,Villarreal CF,LaLiga,Spain,"Jan 23, 2024",€3.50m
