tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
506948,Guy Mbenza,Centre-Forward,https://www.transfermarkt.com/guy-mbenza/profil/spieler/506948,23,Congo,Muaither SC,Stars League,Qatar,Kuwait SC,No league,Kuwait,"Jan 31, 2024",€2.30m
283223,Emre Mor,Right Winger,https://www.transfermarkt.com/emre-mor/profil/spieler/283223,26,Turkey,Fenerbahce,Süper Lig,Turkey,Fatih Karagümrük,Süper Lig,Turkey,"Jan 31, 2024",€2.50m
295483,Bashar Resan,Attacking Midfield,https://www.transfermarkt.com/bashar-resan/profil/spieler/295483,27,Iraq,Qatar SC,Stars League,Qatar,Al-Markhiya SC,Stars League,Qatar,"Jan 31, 2024",€800k
975729,Efe Sarıkaya,Centre-Back,https://www.transfermarkt.com/efe-sarikaya/profil/spieler/975729,18,Turkey,Altay SK,1.Lig,Turkey,Grenoble Foot 38,Ligue 2,France,"Jan 31, 2024",€550k
590835,Victor Lind,Right Winger,https://www.transfermarkt.com/victor-lind/profil/spieler/590835,20,Denmark,FC Midtjylland,Superliga,Denmark,Vejle Boldklub,Superliga,Denmark,"Jan 31, 2024",€1.50m
959171,André Dhominique,Right-Back,https://www.transfermarkt.com/andre-dhominique/profil/spieler/959171,20,Brazil,Esporte Clube Bahia,Série A,Brazil,CF Estrela Amadora SAD,Liga Portugal,Portugal,"Jan 31, 2024",€800k
732899,Guzmán Rodríguez,Centre-Back,https://www.transfermarkt.com/guzman-rodriguez/profil/spieler/732899,23,Uruguay,CA Boston River,Primera División Apertura,Uruguay,CA Peñarol,Primera División Apertura,Uruguay,"Jan 31, 2024",€1.00m
344519,Bruno Costa,Central Midfield,https://www.transfermarkt.com/bruno-costa/profil/spieler/344519,26,Portugal,Valenciennes FC,Ligue 2,France,FC Vizela,Liga Portugal,Portugal,"Jan 31, 2024",€1.20m
980576,Amine Salama,Centre-Forward,https://www.transfermarkt.com/amine-salama/profil/spieler/980576,23,France,Stade Reims,Ligue 1,France,SM Caen,Ligue 2,France,"Jan 31, 2024",€3.00m
409886,Úmaro Embaló,Right Winger,https://www.transfermarkt.com/umaro-embalo/profil/spieler/409886,22,Portugal,Fortuna Sittard,Eredivisie,Netherlands,Rio Ave FC,Liga Portugal,Portugal,"Jan 31, 2024",€1.00m
818495,Otávio,Centre-Back,https://www.transfermarkt.com/otavio/profil/spieler/818495,21,Brazil,FC Famalicão,Liga Portugal,Portugal,FC Porto,Liga Portugal,Portugal,"Jan 31, 2024",€3.00m
291399,Nanu,Right-Back,https://www.transfermarkt.com/nanu/profil/spieler/291399,29,Guinea-Bissau,Samsunspor,Süper Lig,Turkey,CF Estrela Amadora SAD,Liga Portugal,Portugal,"Jan 31, 2024",€750k
333923,Nicolás Stefanelli,Centre-Forward,https://www.transfermarkt.com/nicolas-stefanelli/profil/spieler/333923,29,Argentina,Inter Miami CF,MLS,United States,Fehérvár FC,NB I.,Hungary,"Jan 31, 2024",€1.00m
727208,Roger Aholou,Defensive Midfield,https://www.transfermarkt.com/roger-aholou/profil/spieler/727208,30,Togo,Raja Club Athletic,Botola Pro Inwi,Morocco,Esperance Tunis,Ligue I Pro,Tunisia,"Jan 31, 2024",€1.00m
826528,Federico Gomes Gerth,Goalkeeper,https://www.transfermarkt.com/federico-gomes-gerth/profil/spieler/826528,19,Argentina,Club Atlético Tigre,Liga Profesional,Argentina,Académico Viseu FC,Liga Sabseg,Portugal,"Jan 31, 2024",€500k
367795,Fran Karacic,Right-Back,https://www.transfermarkt.com/fran-karacic/profil/spieler/367795,27,Australia,Without ClubWithout Club,No league,No country,NK Rudes,SuperSport HNL,Croatia,"Jan 31, 2024",€700k
448466,Jovane,Left Winger,https://www.transfermarkt.com/jovane/profil/spieler/448466,25,Cape Verde,Sporting CP,Liga Portugal,Portugal,Olympiacos Piraeus,Super League 1,Greece,"Jan 31, 2024",€3.50m
766258,Kaio César,Right Winger,https://www.transfermarkt.com/kaio-cesar/profil/spieler/766258,19,Brazil,Coritiba Foot Ball Club,Série B,Brazil,Vitória Guimarães SC,Liga Portugal,Portugal,"Jan 31, 2024",€1.00m
257851,Rúben Vezo,Centre-Back,https://www.transfermarkt.com/ruben-vezo/profil/spieler/257851,29,Portugal,Levante UD,LaLiga2,Spain,Olympiacos Piraeus,Super League 1,Greece,"Jan 31, 2024",€1.80m
899543,Marco Delle Monache,Second Striker,https://www.transfermarkt.com/marco-delle-monache/profil/spieler/899543,18,Italy,UC Sampdoria,Serie B,Italy,LR Vicenza,Serie C - A,Italy,"Jan 31, 2024",€1.20m
726697,Cristian Castro,Centre-Back,https://www.transfermarkt.com/cristian-castro/profil/spieler/726697,23,Colombia,Atlético Nacional,Liga Dimayor I,Colombia,Rio Ave FC,Liga Portugal,Portugal,"Jan 31, 2024",€750k
1013774,Marciano Sanca,Centre-Forward,https://www.transfermarkt.com/marciano-sanca/profil/spieler/1013774,19,Guinea-Bissau,UD Almería,LaLiga,Spain,AD Alcorcón,LaLiga2,Spain,"Jan 31, 2024",€1.00m
311287,José Antonio Martínez,Centre-Back,https://www.transfermarkt.com/jose-antonio-martinez/profil/spieler/311287,30,Spain,FC Dallas,MLS,United States,Córdoba CF,Primera Federación - Gr. II,Spain,"Jan 31, 2024",€1.50m
459655,Matteo Lovato,Centre-Back,https://www.transfermarkt.com/matteo-lovato/profil/spieler/459655,23,Italy,US Salernitana 1919,Serie A,Italy,Torino FC,Serie A,Italy,"Jan 31, 2024",€4.50m
504215,Giovanni Reyna,Attacking Midfield,https://www.transfermarkt.com/giovanni-reyna/profil/spieler/504215,21,United States,Borussia Dortmund,Bundesliga,Germany,Nottingham Forest,Premier League,England,"Jan 31, 2024",€20.00m
416109,Riad Benayad,Centre-Forward,https://www.transfermarkt.com/riad-benayad/profil/spieler/416109,27,Algeria,Esperance Tunis,Ligue I Pro,Tunisia,Raja Club Athletic,Botola Pro Inwi,Morocco,"Jan 31, 2024",€500k
337286,Achraf Krir,Goalkeeper,https://www.transfermarkt.com/achraf-krir/profil/spieler/337286,32,Tunisia,Etoile Sportive du Sahel,Ligue I Pro,Tunisia,Club Athlétique Bizertin,Ligue I Pro,Tunisia,"Jan 31, 2024",€500k
892160,Luka Vuskovic,Centre-Back,https://www.transfermarkt.com/luka-vuskovic/profil/spieler/892160,16,Croatia,HNK Hajduk Split,SuperSport HNL,Croatia,Radomiak Radom,Ekstraklasa,Poland,"Jan 31, 2024",€7.00m
544149,David Zima,Centre-Back,https://www.transfermarkt.com/david-zima/profil/spieler/544149,23,Czech Republic,Torino FC,Serie A,Italy,SK Slavia Prague,Fortuna Liga,Czech Republic,"Jan 31, 2024",€4.00m
980866,Talles Wander,Centre-Forward,https://www.transfermarkt.com/talles-wander/profil/spieler/980866,20,Brazil,São Paulo Futebol Clube,Série A,Brazil,Avs Futebol SAD,Liga Sabseg,Portugal,"Jan 31, 2024",€500k
411502,Danny Henriques,Centre-Back,https://www.transfermarkt.com/danny-henriques/profil/spieler/411502,26,Netherlands,FC U Craiova 1948,SuperLiga,Romania,AEK Larnaca,Protathlima Cyta,Cyprus,"Jan 31, 2024",€600k
