tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
705864,Abdoulaye Cissoko,Centre-Back,https://www.transfermarkt.com/abdoulaye-cissoko/profil/spieler/705864,24,France,Seattle Sounders FC,MLS,United States,Memphis 901 FC,USLC,United States,"Feb 2, 2024",€600k
149577,Pablo,Centre-Back,https://www.transfermarkt.com/pablo/profil/spieler/149577,32,Brazil,CR Flamengo,Série A,Brazil,Botafogo de Futebol e Regatas,Série A,Brazil,"Feb 2, 2024",€1.70m
234538,Victor Luis,Left-Back,https://www.transfermarkt.com/victor-luis/profil/spieler/234538,30,Brazil,Coritiba Foot Ball Club,Série B,Brazil,Without ClubWithout Club,No league,No country,"Feb 2, 2024",€700k
649055,Gabriel Novaes,Centre-Forward,https://www.transfermarkt.com/gabriel-novaes/profil/spieler/649055,24,Brazil,Red Bull Bragantino,Série A,Brazil,Associação Atlética Ponte Preta,Série B,Brazil,"Feb 2, 2024",€1.20m
538230,Bruno Melo,Centre-Back,https://www.transfermarkt.com/bruno-melo/profil/spieler/538230,31,Brazil,Fortaleza Esporte Clube,Série A,Brazil,Coritiba Foot Ball Club,Série B,Brazil,"Feb 2, 2024",€500k
324341,Alexandros Katranis,Left-Back,https://www.transfermarkt.com/alexandros-katranis/profil/spieler/324341,25,Greece,Piast Gliwice,Ekstraklasa,Poland,Real Salt Lake City,MLS,United States,"Feb 2, 2024",€650k
255401,Fabian Piasecki,Centre-Forward,https://www.transfermarkt.com/fabian-piasecki/profil/spieler/255401,28,Poland,Raków Częstochowa,Ekstraklasa,Poland,Piast Gliwice,Ekstraklasa,Poland,"Feb 2, 2024",€500k
315125,Javairô Dilrosun,Right Winger,https://www.transfermarkt.com/javairo-dilrosun/profil/spieler/315125,25,Netherlands,Feyenoord Rotterdam,Eredivisie,Netherlands,CF América,Liga MX Apertura,Mexico,"Feb 2, 2024",€4.00m
431912,Bobur Abdikholikov,Centre-Forward,https://www.transfermarkt.com/bobur-abdikholikov/profil/spieler/431912,26,Uzbekistan,Ordabasy Shymkent,Premier Liga,Kazakhstan,Nasaf Qarshi,Superliga,Uzbekistan,"Feb 2, 2024",€900k
463666,Antoine Baroan,Centre-Forward,https://www.transfermarkt.com/antoine-baroan/profil/spieler/463666,23,France,Botev Plovdiv,efbet Liga,Bulgaria,FC Winterthur,Super League,Switzerland,"Feb 2, 2024",€1.60m
396635,Raz Shlomo,Centre-Back,https://www.transfermarkt.com/raz-shlomo/profil/spieler/396635,24,Israel,Oud-Heverlee Leuven,Jupiler Pro League,Belgium,Maccabi Tel Aviv,Ligat ha'Al,Israel,"Feb 2, 2024",€700k
907131,Agustín Ojeda,Left Winger,https://www.transfermarkt.com/agustin-ojeda/profil/spieler/907131,19,Argentina,Racing Club,Liga Profesional,Argentina,New York City FC,MLS,United States,"Feb 2, 2024",€3.00m
490224,Ismaila Coulibaly,Central Midfield,https://www.transfermarkt.com/ismaila-coulibaly/profil/spieler/490224,23,Mali,Sheffield United,Premier League,England,AIK,Allsvenskan,Sweden,"Feb 2, 2024",€900k
578551,Sofian Bahloul,Right Winger,https://www.transfermarkt.com/sofian-bahloul/profil/spieler/578551,24,France,FC Wil 1900,Challenge League,Switzerland,SCR Altach,Bundesliga,Austria,"Feb 2, 2024",€500k
592379,Matti Peltola,Centre-Back,https://www.transfermarkt.com/matti-peltola/profil/spieler/592379,21,Finland,HJK Helsinki,Veikkausliiga,Finland,D.C. United,MLS,United States,"Feb 2, 2024",€600k
221446,Lee Evans,Central Midfield,https://www.transfermarkt.com/lee-evans/profil/spieler/221446,29,Wales,Ipswich Town,Championship,England,Without ClubWithout Club,No league,No country,"Feb 2, 2024",€500k
525287,Carlos Vinícius,Centre-Forward,https://www.transfermarkt.com/carlos-vinicius/profil/spieler/525287,28,Brazil,Fulham FC,Premier League,England,Galatasaray,Süper Lig,Turkey,"Feb 2, 2024",€6.00m
127032,Serge Aurier,Right-Back,https://www.transfermarkt.com/serge-aurier/profil/spieler/127032,31,Cote d'Ivoire,Nottingham Forest,Premier League,England,Galatasaray,Süper Lig,Turkey,"Feb 2, 2024",€7.00m
258034,Guga,Central Midfield,https://www.transfermarkt.com/guga/profil/spieler/258034,26,Portugal,Rio Ave FC,Liga Portugal,Portugal,Beijing Guoan,Super League,China,"Feb 2, 2024",€3.00m
406614,Oliver Batista Meier,Attacking Midfield,https://www.transfermarkt.com/oliver-batista-meier/profil/spieler/406614,22,Germany,SG Dynamo Dresden,3. Liga,Germany,Grasshopper Club Zurich,Super League,Switzerland,"Feb 2, 2024",€700k
282734,Gerson Rodrigues,Left Winger,https://www.transfermarkt.com/gerson-rodrigues/profil/spieler/282734,28,Luxembourg,Dynamo Kyiv,Premier Liga,Ukraine,Slovan Bratislava,Nike Liga,Slovakia,"Feb 2, 2024",€1.70m
315252,Daniil Lesovoy,Left Winger,https://www.transfermarkt.com/daniil-lesovoy/profil/spieler/315252,26,Russia,Dynamo Moscow,Premier Liga,Russia,Maccabi Haifa,Ligat ha'Al,Israel,"Feb 2, 2024",€1.80m
547443,Pedro Raul,Centre-Forward,https://www.transfermarkt.com/pedro-raul/profil/spieler/547443,27,Brazil,Deportivo Toluca,Liga MX Apertura,Mexico,Sport Club Corinthians Paulista,Série A,Brazil,"Feb 2, 2024",€4.00m
486464,Max Bird,Defensive Midfield,https://www.transfermarkt.com/max-bird/profil/spieler/486464,23,England,Bristol City,Championship,England,Derby County,League One,England,"Feb 2, 2024",€2.80m
466637,Ephron Mason-Clark,Left Winger,https://www.transfermarkt.com/ephron-mason-clark/profil/spieler/466637,24,England,Coventry City,Championship,England,Peterborough United,League One,England,"Feb 2, 2024",€900k
344607,Nabil Alioui,Left Winger,https://www.transfermarkt.com/nabil-alioui/profil/spieler/344607,24,France,Le Havre AC,Ligue 1,France,Adana Demirspor,Süper Lig,Turkey,"Feb 2, 2024",€4.00m
26485,Jérôme Boateng,Centre-Back,https://www.transfermarkt.com/jerome-boateng/profil/spieler/26485,35,Germany,Without ClubWithout Club,No league,No country,US Salernitana 1919,Serie A,Italy,"Feb 2, 2024",€500k
