tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
400001,Strahinja Tanasijević,Centre-Back,https://www.transfermarkt.com/strahinja-tanasijevic/profil/spieler/400001,26,Serbia,FK Spartak Subotica,Super liga Srbije,Serbia,New York City FC,MLS,United States,"Feb 4, 2024",€750k
814967,Valentín Larralde,Central Midfield,https://www.transfermarkt.com/valentin-larralde/profil/spieler/814967,23,Argentina,Defensa y Justicia,Liga Profesional,Argentina,Club Atlético Gimnasia y Esgrima (Jujuy),Primera Nacional,Argentina,"Feb 4, 2024",€650k
231316,Axel Méyé,Centre-Forward,https://www.transfermarkt.com/axel-meye/profil/spieler/231316,28,Gabon,Al-Ahli Benghazi,No league,Libya,CS Constantine,Ligue Professionnelle 1,Algeria,"Feb 4, 2024",€600k
728982,Scott High,Central Midfield,https://www.transfermarkt.com/scott-high/profil/spieler/728982,22,Scotland,Huddersfield Town,Championship,England,Dundalk FC,Premier Division,Ireland,"Feb 4, 2024",€850k
390535,Rahman Jafari,Centre-Forward,https://www.transfermarkt.com/rahman-jafari/profil/spieler/390535,26,Iran,Shams Azar Qazvin,Persian Gulf Pro League,Iran,Tractor FC,Persian Gulf Pro League,Iran,"Feb 4, 2024",€500k
627222,Talles Costa,Central Midfield,https://www.transfermarkt.com/talles-costa/profil/spieler/627222,21,Brazil,São Paulo Futebol Clube,Série A,Brazil,Polissya Zhytomyr,Premier Liga,Ukraine,"Feb 4, 2024",€2.00m
155423,Varazdat Haroyan,Centre-Back,https://www.transfermarkt.com/varazdat-haroyan/profil/spieler/155423,31,Armenia,FC Astana,Premier Liga,Kazakhstan,Qingdao West Coast,Super League,China,"Feb 4, 2024",€800k
267093,Milos Milovic,Centre-Back,https://www.transfermarkt.com/milos-milovic/profil/spieler/267093,28,Montenegro,Navbahor Namangan,Superliga,Uzbekistan,Qingdao Hainiu,Super League,China,"Feb 4, 2024",€800k
186380,Jakub Hromada,Defensive Midfield,https://www.transfermarkt.com/jakub-hromada/profil/spieler/186380,27,Slovakia,SK Slavia Prague,Fortuna Liga,Czech Republic,FC Rapid Bucharest,SuperLiga,Romania,"Feb 4, 2024",€1.30m
333913,Gustavo,Centre-Forward,https://www.transfermarkt.com/gustavo/profil/spieler/333913,29,Brazil,Jeonbuk Hyundai Motors,K League 1,"Korea, South",Shanghai Port,Super League,China,"Feb 4, 2024",€600k
347909,Matheus Jussa,Defensive Midfield,https://www.transfermarkt.com/matheus-jussa/profil/spieler/347909,27,Brazil,Fortaleza Esporte Clube,Série A,Brazil,Shanghai Port,Super League,China,"Feb 4, 2024",€1.20m
1036407,Eyad El Askalany,Centre-Back,https://www.transfermarkt.com/eyad-el-askalany/profil/spieler/1036407,19,Egypt,Ismaily SC,Premier League,Egypt,FK Rostov,Premier Liga,Russia,"Feb 4, 2024",€500k
274536,Jaloliddin Masharipov,Left Winger,https://www.transfermarkt.com/jaloliddin-masharipov/profil/spieler/274536,30,Uzbekistan,Panserraikos,Super League 1,Greece,Esteghlal FC,Persian Gulf Pro League,Iran,"Feb 4, 2024",€1.50m
