tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
384761,Leonardo Sequeira,Right Winger,https://www.transfermarkt.com/leonardo-sequeira/profil/spieler/384761,28,Argentina,CD Everton,Primera División,Chile,CA Peñarol,Primera División Apertura,Uruguay,"Feb 8, 2024",€600k
225339,Queensy Menig,Left Winger,https://www.transfermarkt.com/queensy-menig/profil/spieler/225339,28,Netherlands,FK Partizan Belgrade,Super liga Srbije,Serbia,Sivasspor,Süper Lig,Turkey,"Feb 8, 2024",€2.80m
272930,Jamiro Monteiro,Central Midfield,https://www.transfermarkt.com/jamiro-monteiro/profil/spieler/272930,30,Cape Verde,San Jose Earthquakes,MLS,United States,Gaziantep FK,Süper Lig,Turkey,"Feb 8, 2024",€3.00m
694606,Thiago Andrade,Left Winger,https://www.transfermarkt.com/thiago-andrade/profil/spieler/694606,23,Brazil,New York City FC,MLS,United States,Shenzhen Peng City,Super League,China,"Feb 8, 2024",€5.00m
511289,Pablo Siles,Defensive Midfield,https://www.transfermarkt.com/pablo-siles/profil/spieler/511289,26,Uruguay,Club Athletico Paranaense,Série A,Brazil,Without ClubWithout Club,No league,No country,"Feb 8, 2024",€500k
340840,Benjamín Kuscevic,Centre-Back,https://www.transfermarkt.com/benjamin-kuscevic/profil/spieler/340840,27,Chile,Coritiba Foot Ball Club,Série B,Brazil,Fortaleza Esporte Clube,Série A,Brazil,"Feb 8, 2024",€1.00m
242444,Miguel Parrales,Centre-Forward,https://www.transfermarkt.com/miguel-parrales/profil/spieler/242444,28,Ecuador,Guayaquil City FC,No league,Ecuador,LDU Quito,Serie A Primera Etapa,Ecuador,"Feb 8, 2024",€800k
469135,Eduard Atuesta,Central Midfield,https://www.transfermarkt.com/eduard-atuesta/profil/spieler/469135,26,Colombia,Sociedade Esportiva Palmeiras,Série A,Brazil,Los Angeles FC,MLS,United States,"Feb 8, 2024",€1.80m
44779,Diego Costa,Centre-Forward,https://www.transfermarkt.com/diego-costa/profil/spieler/44779,35,Spain,Botafogo de Futebol e Regatas,Série A,Brazil,Grêmio Foot-Ball Porto Alegrense,Série A,Brazil,"Feb 8, 2024",€1.60m
495668,Aliou Traoré,Central Midfield,https://www.transfermarkt.com/aliou-traore/profil/spieler/495668,23,France,Göztepe,1.Lig,Turkey,Ankara Keciörengücü,1.Lig,Turkey,"Feb 8, 2024",€600k
