tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
469850,Cameron Duke,Central Midfield,https://www.transfermarkt.com/cameron-duke/profil/spieler/469850,23,United States,Sporting Kansas City,MLS,United States,Crown Legacy FC,MLS Next Pro,United States,"Feb 13, 2024",€1.00m
845563,Bojan Kovačević,Centre-Back,https://www.transfermarkt.com/bojan-kovacevic/profil/spieler/845563,19,Serbia,FK Cukaricki,Super liga Srbije,Serbia,FK Partizan Belgrade,Super liga Srbije,Serbia,"Feb 13, 2024",€1.20m
287717,Emanuele Ndoj,Central Midfield,https://www.transfermarkt.com/emanuele-ndoj/profil/spieler/287717,27,Albania,Without ClubWithout Club,No league,No country,Catania FC,Serie C - C,Italy,"Feb 13, 2024",€500k
128906,Liam Moore,Centre-Back,https://www.transfermarkt.com/liam-moore/profil/spieler/128906,31,Jamaica,Without ClubWithout Club,No league,No country,Northampton Town,League One,England,"Feb 13, 2024",€700k
943795,Jovan Milosevic,Centre-Forward,https://www.transfermarkt.com/jovan-milosevic/profil/spieler/943795,18,Serbia,VfB Stuttgart,Bundesliga,Germany,FC St. Gallen 1879,Super League,Switzerland,"Feb 13, 2024",€500k
265545,Mikkel Maigaard,Attacking Midfield,https://www.transfermarkt.com/mikkel-maigaard/profil/spieler/265545,28,Denmark,Sarpsborg 08 FF,Eliteserien,Norway,Cracovia,Ekstraklasa,Poland,"Feb 13, 2024",€650k
501569,Gustav Granath,Centre-Back,https://www.transfermarkt.com/gustav-granath/profil/spieler/501569,26,Sweden,Degerfors IF,Superettan,Sweden,Vejle Boldklub,Superliga,Denmark,"Feb 13, 2024",€600k
64000,Tomas Vaclik,Goalkeeper,https://www.transfermarkt.com/tomas-vaclik/profil/spieler/64000,34,Czech Republic,Without ClubWithout Club,No league,No country,Albacete Balompié,LaLiga2,Spain,"Feb 13, 2024",€1.20m
197622,Farley Rosa,Left Winger,https://www.transfermarkt.com/farley-rosa/profil/spieler/197622,30,Brazil,Tianjin Jinmen Tiger,Super League,China,Daejeon Hana Citizen,K League 1,"Korea, South","Feb 13, 2024",€700k
189895,Kellyn Acosta,Defensive Midfield,https://www.transfermarkt.com/kellyn-acosta/profil/spieler/189895,28,United States,Los Angeles FC,MLS,United States,Chicago Fire FC,MLS,United States,"Feb 13, 2024",€3.00m
