tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
468686,Shaune Mogaila,Right Winger,https://www.transfermarkt.com/shaune-mogaila/profil/spieler/468686,28,South Africa,Royal AM FC,DStv Premiership,South Africa,Without ClubWithout Club,No league,No country,"Feb 19, 2024",€650k
497359,Nikola Bogdanovski,Right Winger,https://www.transfermarkt.com/nikola-bogdanovski/profil/spieler/497359,25,North Macedonia,FK Novi Pazar,Super liga Srbije,Serbia,Without ClubWithout Club,No league,No country,"Feb 19, 2024",€500k
435489,Lucas Kal,Defensive Midfield,https://www.transfermarkt.com/lucas-kal/profil/spieler/435489,27,Brazil,América Futebol Clube (MG),Série B,Brazil,Atlético Clube Goianiense,Série A,Brazil,"Feb 19, 2024",€1.40m
665112,Rafael Lutiger,Centre-Back,https://www.transfermarkt.com/rafael-lutiger/profil/spieler/665112,22,Peru,Club Sporting Cristal,Liga 1 Apertura,Peru,Sport Boys Association,Liga 1 Apertura,Peru,"Feb 19, 2024",€500k
546036,Gregore,Defensive Midfield,https://www.transfermarkt.com/gregore/profil/spieler/546036,29,Brazil,Inter Miami CF,MLS,United States,Botafogo de Futebol e Regatas,Série A,Brazil,"Feb 19, 2024",€2.50m
231724,Igor Yurganov,Centre-Back,https://www.transfermarkt.com/igor-yurganov/profil/spieler/231724,30,Russia,FC Sochi,Premier Liga,Russia,Fakel Voronezh,Premier Liga,Russia,"Feb 19, 2024",€600k
585339,Pape Habib Gueye,Centre-Forward,https://www.transfermarkt.com/pape-habib-gueye/profil/spieler/585339,24,Senegal,Aberdeen FC,Premiership,Scotland,Kristiansund BK,Eliteserien,Norway,"Feb 19, 2024",€550k
722649,Damián Rivera,Left Winger,https://www.transfermarkt.com/damian-rivera/profil/spieler/722649,21,Costa Rica,New England Revolution,MLS,United States,Tampa Bay Rowdies,USLC,United States,"Feb 19, 2024",€500k
673432,Jovan Mijatovic,Centre-Forward,https://www.transfermarkt.com/jovan-mijatovic/profil/spieler/673432,18,Serbia,Red Star Belgrade,Super liga Srbije,Serbia,New York City FC,MLS,United States,"Feb 19, 2024",€3.00m
60573,Yann M'Vila,Defensive Midfield,https://www.transfermarkt.com/yann-mvila/profil/spieler/60573,33,France,Without ClubWithout Club,No league,No country,West Bromwich Albion,Championship,England,"Feb 19, 2024",€1.50m
659264,Juan Sforza,Defensive Midfield,https://www.transfermarkt.com/juan-sforza/profil/spieler/659264,22,Argentina,CA Newell's Old Boys,Copa de la Liga,Argentina,Clube de Regatas Vasco da Gama,Série A,Brazil,"Feb 19, 2024",€4.50m
436075,Ion Gheorghe,Attacking Midfield,https://www.transfermarkt.com/ion-gheorghe/profil/spieler/436075,24,Romania,Sepsi OSK Sf. Gheorghe,SuperLiga,Romania,Stal Mielec,Ekstraklasa,Poland,"Feb 19, 2024",€850k
174692,Romário Baldé,Left Winger,https://www.transfermarkt.com/romario-balde/profil/spieler/174692,27,Guinea-Bissau,Nantong Zhiyun,Super League,China,Wuhan Three Towns,Super League,China,"Feb 19, 2024",€500k
287255,Andrea Compagno,Centre-Forward,https://www.transfermarkt.com/andrea-compagno/profil/spieler/287255,27,Italy,FCSB,SuperLiga,Romania,Tianjin Jinmen Tiger,Super League,China,"Feb 19, 2024",€2.30m
