tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
93732,Chris Mavinga,Centre-Back,https://www.transfermarkt.com/chris-mavinga/profil/spieler/93732,32,DR Congo,Los Angeles Galaxy,MLS,United States,MLS Pool,No league,United States,"Feb 21, 2024",€500k
452977,Santiago Brunelli,Centre-Back,https://www.transfermarkt.com/santiago-brunelli/profil/spieler/452977,25,Uruguay,CA River Plate Montevideo,Primera División Apertura,Uruguay,Club Plaza Colonia,Liga de Ascenso,Uruguay,"Feb 21, 2024",€550k
51174,Fernando,Defensive Midfield,https://www.transfermarkt.com/fernando/profil/spieler/51174,36,Brazil,Vila Nova Futebol Clube (GO),Série B,Brazil,Sport Club Internacional,Série A,Brazil,"Feb 21, 2024",€2.50m
534435,Joseph Paintsil,Right Winger,https://www.transfermarkt.com/joseph-paintsil/profil/spieler/534435,26,Ghana,KRC Genk,Jupiler Pro League,Belgium,Los Angeles Galaxy,MLS,United States,"Feb 21, 2024",€11.00m
428444,Peter Therkildsen,Right-Back,https://www.transfermarkt.com/peter-therkildsen/profil/spieler/428444,25,Denmark,FK Haugesund,Eliteserien,Norway,Djurgårdens IF,Allsvenskan,Sweden,"Feb 21, 2024",€550k
437773,Leandro Carvalho,Right Winger,https://www.transfermarkt.com/leandro-carvalho/profil/spieler/437773,28,Brazil,Avaí FC,Série B,Brazil,Águia de Marabá FC,No league,Brazil,"Feb 21, 2024",€700k
752724,David da Hora,Left Winger,https://www.transfermarkt.com/david-da-hora/profil/spieler/752724,24,Brazil,Fortaleza Esporte Clube,Série A,Brazil,Coritiba Foot Ball Club,Série B,Brazil,"Feb 21, 2024",€1.40m
323710,Yuriy Zhuravlev,Centre-Back,https://www.transfermarkt.com/yuriy-zhuravlev/profil/spieler/323710,27,Russia,Torpedo Moscow,1.Division,Russia,FK Khimki,1.Division,Russia,"Feb 21, 2024",€700k
695232,Chrystian Barletta,Right Winger,https://www.transfermarkt.com/chrystian-barletta/profil/spieler/695232,22,Brazil,Ceará Sporting Club,Série B,Brazil,Sport Club do Recife,Série B,Brazil,"Feb 21, 2024",€1.00m
983977,Alex Fernandes,Right Winger,https://www.transfermarkt.com/alex-fernandes/profil/spieler/983977,21,Brazil,Cherno More Varna,efbet Liga,Bulgaria,Baltika Kaliningrad,Premier Liga,Russia,"Feb 21, 2024",€800k
686059,Ivan Kuzmichev,Centre-Back,https://www.transfermarkt.com/ivan-kuzmichev/profil/spieler/686059,23,Russia,Lokomotiv Moscow,Premier Liga,Russia,Torpedo Moscow,1.Division,Russia,"Feb 21, 2024",€1.00m
856087,Mohammad Ghorbani,Defensive Midfield,https://www.transfermarkt.com/mohammad-ghorbani/profil/spieler/856087,22,Iran,Sepahan FC,Persian Gulf Pro League,Iran,FK Orenburg,Premier Liga,Russia,"Feb 21, 2024",€500k
574669,Bogdan Jocic,Attacking Midfield,https://www.transfermarkt.com/bogdan-jocic/profil/spieler/574669,23,Serbia,FK Vozdovac,Super liga Srbije,Serbia,Rubin Kazan,Premier Liga,Russia,"Feb 21, 2024",€1.00m
227015,Toni Datkovic,Centre-Back,https://www.transfermarkt.com/toni-datkovic/profil/spieler/227015,30,Croatia,Albacete Balompié,LaLiga2,Spain,Lion City Sailors,Premier League,Singapore,"Feb 21, 2024",€500k
440828,Marko Saric,Centre-Forward,https://www.transfermarkt.com/marko-saric/profil/spieler/440828,25,Serbia,Qingdao Hainiu,Super League,China,FK Javor-Matis Ivanjica,Super liga Srbije,Serbia,"Feb 21, 2024",€750k
639327,Vetle Skjærvik,Centre-Back,https://www.transfermarkt.com/vetle-skjaervik/profil/spieler/639327,23,Norway,Lillestrøm SK,Eliteserien,Norway,Tromsø IL,Eliteserien,Norway,"Feb 21, 2024",€500k
132748,Jin-hyun Lee,Attacking Midfield,https://www.transfermarkt.com/jin-hyun-lee/profil/spieler/132748,26,"Korea, South",Daejeon Hana Citizen,K League 1,"Korea, South",Puszcza Niepolomice,Ekstraklasa,Poland,"Feb 21, 2024",€650k
498015,Kirill Pechenin,Left-Back,https://www.transfermarkt.com/kirill-pechenin/profil/spieler/498015,26,Belarus,FK Orenburg,Premier Liga,Russia,Krylya Sovetov Samara,Premier Liga,Russia,"Feb 21, 2024",€500k
