tm_id,player_name,player_position,player_details,player_age,player_nationality,team_left,league_left,country_previous,team_joined,league_joined,country_current,transf_date,market_value
569222,Luis Sandoval,Centre-Forward,https://www.transfermarkt.com/luis-sandoval/profil/spieler/569222,24,Colombia,Deportivo Cali,Liga Dimayor I,Colombia,CD Real Cartagena,Torneo DIMAYOR I,Colombia,"Mar 1, 2024",€800k
613873,Álvaro Barreal,Left Winger,https://www.transfermarkt.com/alvaro-barreal/profil/spieler/613873,23,Argentina,FC Cincinnati,MLS,United States,Cruzeiro Esporte Clube,Série A,Brazil,"Mar 1, 2024",€5.00m
240889,Anas Ouahim,Attacking Midfield,https://www.transfermarkt.com/anas-ouahim/profil/spieler/240889,26,Morocco,Heracles Almelo,Eredivisie,Netherlands,UnknownUnknown,No league,No country,"Mar 1, 2024",€700k
372046,Lincoln,Centre-Forward,https://www.transfermarkt.com/lincoln/profil/spieler/372046,23,Brazil,Vissel Kobe,J1 League,Japan,Without ClubWithout Club,No league,No country,"Mar 1, 2024",€800k
815673,Fernando Henrique,Defensive Midfield,https://www.transfermarkt.com/fernando-henrique/profil/spieler/815673,22,Brazil,Cruzeiro Esporte Clube,Série A,Brazil,Vila Nova Futebol Clube (GO),Série B,Brazil,"Mar 1, 2024",€1.00m
503218,Diego Loureiro,Goalkeeper,https://www.transfermarkt.com/diego-loureiro/profil/spieler/503218,25,Brazil,Botafogo de Futebol e Regatas,Série A,Brazil,Without ClubWithout Club,No league,No country,"Mar 1, 2024",€1.00m
415482,Fedi Ben Choug,Attacking Midfield,https://www.transfermarkt.com/fedi-ben-choug/profil/spieler/415482,28,Tunisia,Hassania d'Agadir,Botola Pro Inwi,Morocco,FK Turan,Premier Liga,Kazakhstan,"Mar 1, 2024",€600k
221446,Lee Evans,Central Midfield,https://www.transfermarkt.com/lee-evans/profil/spieler/221446,29,Wales,Without ClubWithout Club,No league,No country,Portsmouth FC,League One,England,"Mar 1, 2024",€500k
697724,Egor Pogostnov,Centre-Back,https://www.transfermarkt.com/egor-pogostnov/profil/spieler/697724,20,Russia,Lokomotiv Moscow,Premier Liga,Russia,Arsenal Dzerzhinsk,Vysheyshaya Liga,Belarus,"Mar 1, 2024",€1.50m
324970,Filip Dangubic,Centre-Forward,https://www.transfermarkt.com/filip-dangubic/profil/spieler/324970,28,Croatia,FC Hegelmann,A Lyga,Lithuania,FK Kauno Zalgiris,A Lyga,Lithuania,"Mar 1, 2024",€600k
