name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Saint-Étienne,45.4401467,4.3873058,Auvergne-Rhône-Alpes,FR,Rain,moderate rain,2024-03-26 20:01:17,AS Saint-Étienne
Villa Tunari,-16.9725468,-65.4200268,Cochabamba,BO,Clouds,overcast clouds,2024-03-26 20:01:18,Palmaflor del Trópico
Villa Tunari,-16.9725468,-65.4200268,Cochabamba,BO,Clouds,overcast clouds,2024-03-26 20:01:18,Palmaflor del Trópico
Avenida 1 entre 55 y 57La Plata,No data,No data,No data,No data,No data,No data,No data,Club Estudiantes de La Plata
Esmirna,No data,No data,No data,No data,No data,No data,No data,Göztepe
Av. ColónGrecia,No data,No data,No data,No data,No data,No data,No data,Municipal Grecia
No data,No data,No data,No data,No data,No data,No data,No data,AA Argentinos Juniors
Pedro Aguirre Cerda 297Chillán,No data,No data,No data,No data,No data,No data,No data,CD Ñublense
Lorient,47.7477336,-3.3660907,Brittany,FR,Clouds,broken clouds,2024-03-26 20:01:20,FC Lorient
Bodø,No data,No data,No data,No data,No data,No data,No data,FK Bodø/Glimt
Montevideo,-34.9058916,-56.1913095,Montevideo,UY,Clear,clear sky,2024-03-26 19:58:59,Liverpool FC Montevideo
Fortaleza,-3.7304512,-38.5217989,Ceará,BR,Rain,light rain,2024-03-26 19:59:02,Ceará Sporting Club
No data,No data,No data,No data,No data,No data,No data,No data,Fortuna Sittard
Braga,No data,No data,No data,No data,No data,No data,No data,SC Braga
Lisboa,No data,No data,No data,No data,No data,No data,No data,SL Benfica
Guimarães,No data,No data,No data,No data,No data,No data,No data,Vitória Guimarães SC
Cortrique,50.8276429,3.2659884,West Flanders,BE,Clouds,overcast clouds,2024-03-26 20:01:23,KV Kortrijk
Estambul,No data,No data,No data,No data,No data,No data,No data,Besiktas JK
Brandsen 805,No data,No data,No data,No data,No data,No data,No data,CA Boca Juniors
Teherán,No data,No data,No data,No data,No data,No data,No data,Persepolis FC
Midori-ku,No data,No data,No data,No data,No data,No data,No data,Urawa Red Diamonds
Verona,45.4384958,10.9924122,Veneto,IT,Clouds,broken clouds,2024-03-26 20:00:26,Hellas Verona
Lisboa,No data,No data,No data,No data,No data,No data,No data,SL Benfica
Astaná,51.1282205,71.4306682,Astana,KZ,Clouds,scattered clouds,2024-03-26 20:01:24,FC Astana
São Paulo,-23.5506507,-46.6333824,São Paulo,BR,Drizzle,light intensity drizzle,2024-03-26 19:57:11,São Paulo Futebol Clube
