name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Av. Pablo Ricchieri 1595,No data,No data,No data,No data,No data,No data,No data,CA Talleres
Puerto Saíd,31.263235,32.305505,Port Said,EG,Clear,clear sky,2024-03-26 20:03:50,El Masry SC
Burnley,53.7907262,-2.2439196,England,GB,Rain,light rain,2024-03-26 20:03:51,Burnley FC
Estadio de fútbol: Avenida Marcelo T. de Alvear 2223,No data,No data,No data,No data,No data,No data,No data,Club Almagro
Pereira,4.8142838,-75.6946671,Risaralda,CO,Clouds,broken clouds,2024-03-26 20:03:52,Deportivo Pereira
Nashville,36.1622767,-86.7742984,Tennessee,US,Clouds,few clouds,2024-03-26 20:03:53,Nashville SC
Samsun,No data,No data,No data,No data,No data,No data,No data,Samsunspor
Monastir,39.38474,9.044841,Sardinia,IT,Rain,heavy intensity rain,2024-03-26 19:59:01,US Monastir
Washington D. C.,38.8950368,-77.0365427,District of Columbia,US,Clear,clear sky,2024-03-26 20:00:01,D.C. United
No data,No data,No data,No data,No data,No data,No data,No data,Crystal Palace U21
Sao Paulo,-23.5506507,-46.6333824,São Paulo,BR,Drizzle,light intensity drizzle,2024-03-26 20:00:29,Sport Club Corinthians Paulista
No data,No data,No data,No data,No data,No data,No data,No data,Botafogo de Futebol e Regatas
Commerce City,39.8083196,-104.9338675,Colorado,US,Clouds,broken clouds,2024-03-26 19:59:09,Colorado Rapids
Catanzaro,38.9076353,16.5960465,Calabria,IT,Clouds,few clouds,2024-03-26 20:03:57,US Catanzaro
Gran Mánchester,No data,No data,No data,No data,No data,No data,No data,Manchester United
Wolverhampton(Coord.52°35′25″N2°07′49″O﻿ / ﻿52.590278,No data,No data,No data,No data,No data,No data,No data,Wolverhampton Wanderers
Sochi,43.5854823,39.723109,Krasnodar Krai,RU,Clouds,overcast clouds,2024-03-26 20:01:10,FC Sochi
Tiráspol,46.8371103,29.6109989,Pridnestrovie,MD,Clouds,scattered clouds,2024-03-26 20:03:59,FC Sheriff Tiraspol
Seinäjoki,No data,No data,No data,No data,No data,No data,No data,SJK Seinäjoki
Nimega,51.8474946,5.8637771,Gelderland,NL,Clouds,overcast clouds,2024-03-26 20:04:00,NEC Nijmegen
Pohang,No data,No data,No data,No data,No data,No data,No data,Pohang Steelers
Stara Zagora,No data,No data,No data,No data,No data,No data,No data,Beroe Stara Zagora
Verona,45.4384958,10.9924122,Veneto,IT,Clouds,broken clouds,2024-03-26 20:00:26,Hellas Verona
Piazzale Grande Torino 10136,No data,No data,No data,No data,No data,No data,No data,Torino FC
No data,No data,No data,No data,No data,No data,No data,No data,Fortuna Sittard
Salvador de Bahía,-12.9822499,-38.4812772,Bahia,BR,Clouds,scattered clouds,2024-03-26 20:04:02,Esporte Clube Bahia
Constanţa,No data,No data,No data,No data,No data,No data,No data,FCV Farul Constanta
Riga,56.9493977,24.1051846,Vidzeme,LV,Clear,clear sky,2024-03-26 20:04:03,Riga FC
Kardzhali,No data,No data,No data,No data,No data,No data,No data,Arda Kardzhali
Aachener Str. 999,No data,No data,No data,No data,No data,No data,No data,1.FC Köln
Borísov,54.2240665,28.5117849,Minsk Region,BY,Clouds,broken clouds,2024-03-26 20:04:03,BATE Borisov
Cardiff(Coord.51°28′22″N3°12′11″O﻿ / ﻿51.472778,No data,No data,No data,No data,No data,No data,No data,Cardiff City
Bremen,53.0758196,8.8071646,Free Hanseatic City of Bremen,DE,Clear,clear sky,2024-03-26 20:04:04,SV Werder Bremen
Burnley,53.7907262,-2.2439196,England,GB,Rain,light rain,2024-03-26 20:04:05,Burnley FC
Trinity Road,No data,No data,No data,No data,No data,No data,No data,Aston Villa
Al Yahra,No data,No data,No data,No data,No data,No data,No data,Al-Jahra SC
Belgrado,44.8178131,20.4568974,Central Serbia,RS,Rain,light rain,2024-03-26 19:59:12,FK Cukaricki
Guido y Spano 1053Victoria,No data,No data,No data,No data,No data,No data,No data,Club Atlético Tigre
Gwangyang,No data,No data,No data,No data,No data,No data,No data,Jeonnam Dragons
Curitiba,-25.4295963,-49.2712724,Paraná,BR,Clouds,broken clouds,2024-03-26 20:04:07,Club Athletico Paranaense
Belo Horizonte,-19.9227318,-43.9450948,Minas Gerais,BR,Clouds,overcast clouds,2024-03-26 20:01:26,América Futebol Clube (MG)
Siauliai,55.9340823,23.3157775,Siauliai County,LT,Clouds,broken clouds,2024-03-26 20:04:09,FA Siauliai
Austin,30.2711286,-97.7436995,Texas,US,Clouds,few clouds,2024-03-26 20:02:17,Austin FC
