name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Av. Pablo Livas 2011,No data,No data,No data,No data,No data,No data,No data,CF Monterrey
Belgrado(Serbia),No data,No data,No data,No data,No data,No data,No data,Red Star Belgrade
Soweto,-26.2227778,27.89,Gauteng,ZA,Clouds,few clouds,2024-03-26 20:07:57,Orlando Pirates
Pereira,4.8142838,-75.6946671,Risaralda,CO,Clouds,broken clouds,2024-03-26 20:07:58,Deportivo Pereira
Bragança Paulista,-22.9520235,-46.5418586,São Paulo,BR,Clouds,overcast clouds,2024-03-26 20:07:59,Red Bull Bragantino
Wolfsberg,46.8390583,14.8452061,Carinthia,AT,Clouds,overcast clouds,2024-03-26 20:08:00,Wolfsberger AC
Pedro Aguirre Cerda 297Chillán,No data,No data,No data,No data,No data,No data,No data,CD Ñublense
No data,No data,No data,No data,No data,No data,No data,No data,AA Argentinos Juniors
Leganés,40.3281942,-3.76527,Community of Madrid,ES,Clouds,broken clouds,2024-03-26 20:08:01,CD Leganés
Monza,45.5834418,9.2735257,Lombardy,IT,Rain,light rain,2024-03-26 20:08:01,AC Monza
Nantes,47.2186371,-1.5541362,Pays de la Loire,FR,Clear,clear sky,2024-03-26 20:00:33,FC Nantes
No data,No data,No data,No data,No data,No data,No data,No data,West Ham United U21
Santa Cruz de Tenerife,No data,No data,No data,No data,No data,No data,No data,CD Tenerife
Leicester,52.6362,-1.1331969,England,GB,Rain,moderate rain,2024-03-26 20:08:03,Leicester City
Amberes,51.2211097,4.3997081,Antwerp,BE,Clear,clear sky,2024-03-26 20:08:04,Royal Antwerp FC
Oporto,No data,No data,No data,No data,No data,No data,No data,FC Porto
Uppsala,No data,No data,No data,No data,No data,No data,No data,IK Sirius
Verona,45.4384958,10.9924122,Veneto,IT,Clouds,broken clouds,2024-03-26 20:00:26,Hellas Verona
Pamplona,42.8182536,-1.6440304,Navarre,ES,Clear,clear sky,2024-03-26 20:08:06,CA Osasuna
No data,No data,No data,No data,No data,No data,No data,No data,Liverpool FC U21
Río de Janeiro,-22.9110137,-43.2093727,Rio de Janeiro,BR,Clouds,overcast clouds,2024-03-26 20:06:42,Clube de Regatas Vasco da Gama
Lisboa,No data,No data,No data,No data,No data,No data,No data,Sporting CP
No data,No data,No data,No data,No data,No data,No data,No data,Club Nacional Asunción
Borås,No data,No data,No data,No data,No data,No data,No data,IF Elfsborg
Antakya,No data,No data,No data,No data,No data,No data,No data,Hatayspor
Verona,45.4384958,10.9924122,Veneto,IT,Clouds,broken clouds,2024-03-26 20:00:26,Hellas Verona
Pamplona,42.8182536,-1.6440304,Navarre,ES,Clear,clear sky,2024-03-26 20:08:06,CA Osasuna
Székesfehérvár,No data,No data,No data,No data,No data,No data,No data,Fehérvár FC
Buraidah,26.331667,43.971667,Al-Qassim Province,SA,Clear,clear sky,2024-03-26 20:08:10,Al-Taawoun FC
Róterdam,51.9244424,4.47775,South Holland,NL,Clouds,broken clouds,2024-03-26 20:08:11,Sparta Rotterdam
Estambul,No data,No data,No data,No data,No data,No data,No data,Istanbulspor
Avenida Luis Aragonés,No data,No data,No data,No data,No data,No data,No data,Atlético de Madrid
Farum,55.8101232,12.3702505,Capital Region of Denmark,DK,Clouds,overcast clouds,2024-03-26 20:08:12,FC Nordsjaelland
Borísov,54.2240665,28.5117849,Minsk Region,BY,Clouds,broken clouds,2024-03-26 20:04:03,BATE Borisov
Puente de Vallecas,40.3868601,-3.6591803,Community of Madrid,ES,Clouds,broken clouds,2024-03-26 20:08:14,Rayo Vallecano
Trinity Road,No data,No data,No data,No data,No data,No data,No data,Aston Villa
Mánchester,53.4794892,-2.2451148,England,GB,Rain,light rain,2024-03-26 20:08:15,Manchester City
Kayseri,No data,No data,No data,No data,No data,No data,No data,Kayserispor
Razgrad,No data,No data,No data,No data,No data,No data,No data,Ludogorets Razgrad
Kazán,55.7823547,49.1242266,Tatarstan,RU,Rain,moderate rain,2024-03-26 20:08:16,Rubin Kazan
Berna,46.9482713,7.4514512,Bern,CH,Clouds,scattered clouds,2024-03-26 20:08:17,BSC Young Boys
París,48.8588897,2.3200410217200766,Ile-de-France,FR,Rain,light rain,2024-03-26 20:08:17,Paris Saint-Germain
Mánchester,53.4794892,-2.2451148,England,GB,Rain,light rain,2024-03-26 20:08:15,Manchester City
Adana,No data,No data,No data,No data,No data,No data,No data,Adana Demirspor
