name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Commerce City,39.8083196,-104.9338675,Colorado,US,Clouds,broken clouds,2024-03-26 20:11:10,Colorado Rapids
Arturo Orgaz 510Córdoba,No data,No data,No data,No data,No data,No data,No data,Club Atlético Belgrano
Camino Mangangá s/n,No data,No data,No data,No data,No data,No data,No data,CA Peñarol
Terni,42.5641417,12.6405466,Umbria,IT,Clouds,overcast clouds,2024-03-26 20:11:11,Ternana Calcio
Údine,46.0634632,13.2358377,Friuli-Venezia Giulia,IT,Clouds,overcast clouds,2024-03-26 20:11:12,Udinese Calcio
Mascate,23.61515,58.5912467,Muscat,OM,Clouds,overcast clouds,2024-03-26 20:11:13,Al-Seeb Club
Jeonju,No data,No data,No data,No data,No data,No data,No data,Jeonbuk Hyundai Motors
Osijek,No data,No data,No data,No data,No data,No data,No data,NK Osijek
Genk,50.9654864,5.5001456,Limburg,BE,Clouds,few clouds,2024-03-26 20:11:13,KRC Genk
Clermont-Ferrand,45.7774551,3.0819427,Auvergne-Rhône-Alpes,FR,Rain,light rain,2024-03-26 20:11:14,Clermont Foot 63
Cno. Cocorón,No data,No data,No data,No data,No data,No data,No data,SD Huesca
Sion,43.73903,0.00822,Occitania,FR,Clouds,overcast clouds,2024-03-26 20:11:15,FC Sion
Ajaccio,41.9263991,8.7376029,Corsica,FR,Clouds,broken clouds,2024-03-26 20:11:16,AC Ajaccio
Augsburgo,48.3668041,10.8986971,Bavaria,DE,Clouds,broken clouds,2024-03-26 20:02:27,FC Augsburg
Av. de España s/nAlbacete,No data,No data,No data,No data,No data,No data,No data,Albacete Balompié
Gotemburgo(Suecia),No data,No data,No data,No data,No data,No data,No data,BK Häcken
Lecce,40.3570373,18.1718482,Apulia,IT,Clouds,overcast clouds,2024-03-26 20:11:18,US Lecce
Razgrad,No data,No data,No data,No data,No data,No data,No data,Ludogorets Razgrad
Minsk,No data,No data,No data,No data,No data,No data,No data,Dinamo Minsk
Anfield Road,No data,No data,No data,No data,No data,No data,No data,Liverpool FC
Grove StreetBarnsley(Coord.53°33′08″N1°28′03″O﻿ / ﻿53.552222,No data,No data,No data,No data,No data,No data,No data,Barnsley FC
Enschede,52.2209855,6.8940537,Overijssel,NL,Clouds,overcast clouds,2024-03-26 20:11:19,Twente Enschede FC
Loire DriveWigan(Coord.53°32′52″N2°39′14″O﻿ / ﻿53.547778,No data,No data,No data,No data,No data,No data,No data,Wigan Athletic
Magdeburgo,52.1315889,11.6399609,Saxony-Anhalt,DE,Clouds,scattered clouds,2024-03-26 20:08:35,1.FC Magdeburg
No data,No data,No data,No data,No data,No data,No data,No data,Basaksehir FK
Andijan,40.7833471,72.3506746,Andijan Region,UZ,Rain,moderate rain,2024-03-26 20:11:21,FK Andijon
Meridja,31.5491648,-2.9473825,Bashar,DZ,Clear,clear sky,2024-03-26 20:11:22,JS Saoura
Belo Horizonte,-19.9227318,-43.9450948,Minas Gerais,BR,Clouds,overcast clouds,2024-03-26 20:08:35,América Futebol Clube (MG)
Viale Manfredo Fanti,No data,No data,No data,No data,No data,No data,No data,ACF Fiorentina
Varsovia,52.2319581,21.0067249,Masovian Voivodeship,PL,Clear,clear sky,2024-03-26 20:06:30,Legia Warszawa
No data,No data,No data,No data,No data,No data,No data,No data,GE Anápolis
Wuhan,30.5951051,114.2999353,Hubei,CN,Clouds,overcast clouds,2024-03-26 20:11:26,Wuhan Three Towns
Niza,43.7009358,7.2683912,Provence-Alpes-Côte d'Azur,FR,Clouds,broken clouds,2024-03-26 20:05:30,OGC Nice
Adana,No data,No data,No data,No data,No data,No data,No data,Adana Demirspor
París,48.8588897,2.3200410217200766,Ile-de-France,FR,Rain,light rain,2024-03-26 20:08:17,Paris Saint-Germain
Bratislava,48.1435149,17.108279,Region of Bratislava,SK,Clear,clear sky,2024-03-26 20:11:28,Slovan Bratislava
Como,45.8115623,9.0830353,Lombardy,IT,Rain,moderate rain,2024-03-26 20:11:29,Como 1907
Teherán,No data,No data,No data,No data,No data,No data,No data,Esteghlal FC
C/ Pintor Manuel Maldonado s/nGranada,No data,No data,No data,No data,No data,No data,No data,Granada CF
Avenida Luis Aragonés,No data,No data,No data,No data,No data,No data,No data,Atlético de Madrid
Mechelen (Malinas),51.0281381,4.4803453,Antwerp,BE,Clouds,broken clouds,2024-03-26 20:11:30,KV Mechelen
Zhodino,54.0963334,28.3224192,Minsk Region,BY,Clouds,broken clouds,2024-03-26 20:11:31,Torpedo-BelAZ Zhodino
No data,No data,No data,No data,No data,No data,No data,No data,Career break
Bergen,No data,No data,No data,No data,No data,No data,No data,SK Brann
Wolverhampton(Coord.52°35′25″N2°07′49″O﻿ / ﻿52.590278,No data,No data,No data,No data,No data,No data,No data,Wolverhampton Wanderers
Av. 113 y Calle 307,No data,No data,No data,No data,No data,No data,No data,Delfín SC
