name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Subotica,46.1002058,19.6653273,Vojvodina,RS,Clouds,overcast clouds,2024-03-26 13:30:52,FK Spartak Subotica
Av. Humahuaca 244 y Calle 501Florencio Varela,No data,No data,No data,No data,No data,No data,No data,Defensa y Justicia
No data,No data,No data,No data,No data,No data,No data,No data,Al-Ahli Benghazi
Huddersfield(Coord.53°39′15″N1°46′06″O﻿ / ﻿53.654167,No data,No data,No data,No data,No data,No data,No data,Huddersfield Town
No data,No data,No data,No data,No data,No data,No data,No data,Shams Azar Qazvin
São Paulo,-23.5506507,-46.6333824,São Paulo,BR,Rain,light rain,2024-03-26 13:30:55,São Paulo Futebol Clube
Astaná,51.1282205,71.4306682,Astana,KZ,Clear,clear sky,2024-03-26 13:30:57,FC Astana
No data,No data,No data,No data,No data,No data,No data,No data,Navbahor Namangan
Praga,50.0874654,14.4212535,Prague,CZ,Clear,clear sky,2024-03-26 13:31:00,SK Slavia Prague
Jeonju,No data,No data,No data,No data,No data,No data,No data,Jeonbuk Hyundai Motors
Fortaleza,-3.7304512,-38.5217989,Ceará,BR,Clouds,scattered clouds,2024-03-26 13:27:52,Fortaleza Esporte Clube
Ismailia,30.6043775,32.2770825,Al Ismailiya,EG,Clouds,overcast clouds,2024-03-26 13:31:06,Ismaily SC
Serres,48.6911344,6.4642569,Grand Est,FR,Rain,light rain,2024-03-26 13:30:09,Panserraikos
