name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
No data,No data,No data,No data,No data,No data,No data,No data,Hapoel Tel Aviv
Sede social principal y asentamiento legal: Teodoro García 3550 (Ciudad Autónoma de Buenos Aires).Estadio principal de fútbol: Gutiérrez 351,No data,No data,No data,No data,No data,No data,No data,FK Javor-Matis Ivanjica
Curitiba,-25.4295963,-49.2712724,Paraná,BR,Clouds,scattered clouds,2024-03-26 13:23:57,Club Atlético Morelia
Bucarest,No data,No data,No data,No data,No data,No data,No data,Esporte Clube Bahia
Nantes,47.2186371,-1.5541362,Pays de la Loire,FR,Clouds,broken clouds,2024-03-26 13:35:32,CA Chacarita Juniors
Osijek,No data,No data,No data,No data,No data,No data,No data,Club Athletico Paranaense
Glasgow,55.8609825,-4.2488787,Scotland,GB,Clouds,overcast clouds,2024-03-26 13:35:36,FCSB
Pilsen,49.7477415,13.3775249,Southwest,CZ,Clouds,broken clouds,2024-03-26 13:35:40,FC Nantes
Zúrich,47.3744489,8.5410422,Zurich,CH,Clouds,few clouds,2024-03-26 13:35:42,NK Osijek
Vizela,No data,No data,No data,No data,No data,No data,No data,Rangers FC
Charlotte,35.2272086,-80.8430827,North Carolina,US,Clouds,overcast clouds,2024-03-26 13:35:46,FC Viktoria Plzen
Ulsan,No data,No data,No data,No data,No data,No data,No data,Grasshopper Club Zurich
Adana,No data,No data,No data,No data,No data,No data,No data,FC Vizela
Almería,36.8414197,-2.4628135,Andalusia,ES,Clouds,few clouds,2024-03-26 13:35:50,Charlotte FC
Wuhan,30.5951051,114.2999353,Hubei,CN,Clouds,overcast clouds,2024-03-26 13:35:53,Ulsan HD FC
Praga,50.0874654,14.4212535,Prague,CZ,Clear,clear sky,2024-03-26 13:35:56,Adana Demirspor
Strobelalee,No data,No data,No data,No data,No data,No data,No data,UD Almería
Kazán,55.7823547,49.1242266,Tatarstan,RU,Rain,moderate rain,2024-03-26 13:36:01,Wuhan Three Towns
Jinan,36.6507007,117.1140042,Shandong,CN,Clouds,overcast clouds,2024-03-26 13:36:04,SK Slavia Prague
Brandsen 805,No data,No data,No data,No data,No data,No data,No data,Borussia Dortmund
Wolverhampton(Coord.52°35′25″N2°07′49″O﻿ / ﻿52.590278,No data,No data,No data,No data,No data,No data,No data,Rubin Kazan
No data,No data,No data,No data,No data,No data,No data,No data,Shandong Taishan
Maturín,9.7422774,-63.1888854,Monagas State,VE,Clouds,broken clouds,2024-03-26 13:36:08,CA Boca Juniors
Moscú,55.7504461,37.6174943,Moscow,RU,Clouds,overcast clouds,2024-03-26 13:36:12,Wolverhampton Wanderers
Zhodino,54.0963334,28.3224192,Minsk Region,BY,Clouds,scattered clouds,2024-03-26 13:36:16,Navbahor Namangan
No data,No data,No data,No data,No data,No data,No data,No data,Monagas SC
Vilna,54.6870458,25.2829111,Vilnius County,LT,Clear,clear sky,2024-03-26 13:36:19,Torpedo Moscow
