name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
No data,No data,No data,No data,No data,No data,No data,No data,CD Everton
Bronx,40.8466508,-73.8785937,New York,US,Clouds,overcast clouds,2024-03-26 13:37:20,FK Partizan Belgrade
Curitiba,-25.4295963,-49.2712724,Paraná,BR,Clouds,scattered clouds,2024-03-26 13:32:41,San Jose Earthquakes
Curitiba,-25.4295963,-49.2712724,Paraná,BR,Clouds,scattered clouds,2024-03-26 13:32:41,New York City FC
Av. Paseo del Parque junto alParque Samanes,No data,No data,No data,No data,No data,No data,No data,Club Athletico Paranaense
No data,No data,No data,No data,No data,No data,No data,No data,Coritiba Foot Ball Club
No data,No data,No data,No data,No data,No data,No data,No data,Guayaquil City FC
Esmirna,No data,No data,No data,No data,No data,No data,No data,Sociedade Esportiva Palmeiras
No data,No data,No data,No data,No data,No data,No data,No data,Botafogo de Futebol e Regatas
Atlanta,33.7489924,-84.3902644,Georgia,US,Rain,moderate rain,2024-03-26 13:37:30,Göztepe
Graz,47.0708678,15.4382786,Styria,AT,Clouds,overcast clouds,2024-03-26 13:37:32,Fenerbahce
Hannover,52.3744779,9.7385532,Lower Saxony,DE,Clear,clear sky,2024-03-26 13:37:37,Atlanta United FC
Stavanger,No data,No data,No data,No data,No data,No data,No data,SK Sturm Graz
Taskent,No data,No data,No data,No data,No data,No data,No data,Hannover 96
No data,No data,No data,No data,No data,No data,No data,No data,Viking FK
Keißlergasse 6,No data,No data,No data,No data,No data,No data,No data,Pakhtakor Tashkent
Estambul,No data,No data,No data,No data,No data,No data,No data,SL Benfica B
Izmit,No data,No data,No data,No data,No data,No data,No data,Rapid Vienna
Yverdon-les-Bains,46.7785711,6.6409158,Vaud,CH,Rain,light rain,2024-03-26 13:37:40,Galatasaray
Wals-Siezenheim,47.7986,12.9807,Salzburg,AT,Clear,clear sky,2024-03-26 13:37:42,Kocaelispor
Ajman,25.3936557,55.4451432,Ajman Emirate,AE,Clouds,few clouds,2024-03-26 13:33:59,Yverdon Sport FC
Kazán,55.7823547,49.1242266,Tatarstan,RU,Rain,moderate rain,2024-03-26 13:36:01,Red Bull Salzburg
Casablanca,No data,No data,No data,No data,No data,No data,No data,Ajman Club
Moscú,55.7504461,37.6174943,Moscow,RU,Clouds,overcast clouds,2024-03-26 13:36:12,Rubin Kazan
Vizela,No data,No data,No data,No data,No data,No data,No data,Wydad Casablanca
Trondheim,No data,No data,No data,No data,No data,No data,No data,Spartak Moscow
San Martín y Av. Quito,No data,No data,No data,No data,No data,No data,No data,FC Vizela
Shanghái,No data,No data,No data,No data,No data,No data,No data,Rosenborg BK
Istanbul,No data,No data,No data,No data,No data,No data,No data,CS Emelec
Kawasaki,No data,No data,No data,No data,No data,No data,No data,Shanghai Shenhua
