name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Durban,-29.861825,31.009909,KwaZulu-Natal,ZA,Clear,clear sky,2024-03-26 19:49:21,Royal AM FC
Novi Pazar,43.1363535,20.5112273,Central Serbia,RS,Clouds,overcast clouds,2024-03-26 19:49:22,FK Novi Pazar
Belo Horizonte,-19.9227318,-43.9450948,Minas Gerais,BR,Clouds,overcast clouds,2024-03-26 19:46:39,América Futebol Clube (MG)
San Martín de Porres,-11.98675905,-77.09765510588419,Lima,PE,Clouds,broken clouds,2024-03-26 19:49:24,Club Sporting Cristal
Fort Lauderdale,26.1223084,-80.1433786,Florida,US,Clouds,overcast clouds,2024-03-26 19:47:59,Inter Miami CF
Sochi,43.5854823,39.723109,Krasnodar Krai,RU,Rain,light rain,2024-03-26 19:49:26,FC Sochi
Aberdeen,57.1482429,-2.0928095,Scotland,GB,Clouds,broken clouds,2024-03-26 19:49:27,Aberdeen FC
Foxborough,42.0653768,-71.2478308,Massachusetts,US,Mist,mist,2024-03-26 19:49:28,New England Revolution
Belgrado(Serbia),No data,No data,No data,No data,No data,No data,No data,Red Star Belgrade
Parque de la IndependenciaRosario,No data,No data,No data,No data,No data,No data,No data,CA Newell's Old Boys
No data,No data,No data,No data,No data,No data,No data,No data,Sepsi OSK Sf. Gheorghe
Nantong,31.9827896,120.8904588,Jiangsu,CN,Clouds,broken clouds,2024-03-26 19:49:29,Nantong Zhiyun
Bucarest,No data,No data,No data,No data,No data,No data,No data,FCSB
