name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
No data,No data,No data,No data,No data,No data,No data,No data,Botafogo de Futebol e Regatas
Reineh,32.721222,35.317534762343584,North District,IL,Clouds,few clouds,2024-03-26 12:54:06,Maccabi Bnei Reineh
São Paulo,-23.5506507,-46.6333824,São Paulo,BR,Rain,light rain,2024-03-26 12:49:35,São Paulo Futebol Clube
No data,No data,No data,No data,No data,No data,No data,No data,Sociedade Esportiva Palmeiras
No data,No data,No data,No data,No data,No data,No data,No data,CR Flamengo
Commerce City,39.8083196,-104.9338675,Colorado,US,Snow,snow,2024-03-26 12:49:29,Colorado Rapids
Glasgow,55.8609825,-4.2488787,Scotland,GB,Clouds,broken clouds,2024-03-26 12:50:26,Celtic FC
Porto Alegre,-30.0324999,-51.2303767,Rio Grande do Sul,BR,Clouds,scattered clouds,2024-03-26 12:54:02,Sport Club Internacional
Recife,-8.0584933,-34.8848193,Pernambuco,BR,Clouds,scattered clouds,2024-03-26 12:50:00,Sport Club do Recife
Novo Horizonte,-21.4674564,-49.2235377,São Paulo,BR,Rain,light rain,2024-03-26 12:54:22,Grêmio Novorizontino
Carrera 74 # 48-21Medellín,No data,No data,No data,No data,No data,No data,No data,Atlético Nacional
Lisboa,No data,No data,No data,No data,No data,No data,No data,Casa Pia AC
Glasgow,55.8609825,-4.2488787,Scotland,GB,Clouds,broken clouds,2024-03-26 12:50:26,Celtic FC
Fortaleza,-3.7304512,-38.5217989,Ceará,BR,Clouds,scattered clouds,2024-03-26 12:50:57,Ceará Sporting Club
Naruto,No data,No data,No data,No data,No data,No data,No data,Tokushima Vortis
Zaporiyia,47.8507859,35.1182867,Zaporizhia Oblast,UA,Clouds,overcast clouds,2024-03-26 12:54:30,Zorya Lugansk
Kardzhali,No data,No data,No data,No data,No data,No data,No data,Arda Kardzhali
No data,No data,No data,No data,No data,No data,No data,No data,Beijing Guoan
Poços de Caldas,-21.7900318,-46.5647928,Minas Gerais,BR,Rain,light rain,2024-03-26 12:54:33,AA Caldense
